客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,1,1,0
2,0,1,0,0
3,0,0,1,0
4,0,0,1,0
5,1,1,0,0
6,0,1,1,0
7,0,0,1,1
8,0,1,0,0
9,1,0,0,0
10,1,0,0,0
11,0,0,0,1
12,0,0,0,1
13,0,1,0,0
14,0,1,1,0
15,0,0,0,1
16,0,0,1,0
17,1,0,0,0
18,0,0,1,0
19,0,0,1,1
20,1,0,0,0
21,0,1,0,0
22,0,0,1,1
23,0,0,0,1
24,1,0,0,0
25,0,0,0,1
26,0,1,1,0
27,1,0,0,0
28,0,0,1,0
29,0,0,0,1
30,0,0,0,1
31,1,0,0,0
32,0,0,1,0
33,0,0,1,1
34,0,1,0,0
35,1,0,0,0
36,0,1,0,0
37,1,0,0,0
38,0,0,1,1
39,0,0,1,1
40,0,1,0,0
41,0,0,1,1
42,0,0,1,0
43,0,1,0,0
44,0,1,0,0
45,0,0,0,1
46,0,0,1,1
47,0,0,1,1
48,0,0,1,1
49,0,0,0,1
50,0,1,1,0
51,0,1,0,0
52,1,1,0,0
53,0,0,1,0
54,1,1,0,0
55,0,0,0,1
56,0,0,0,1
57,1,1,0,0
58,0,0,1,0
59,1,1,0,0
60,1,0,0,0
61,0,0,1,0
62,1,1,0,0
63,0,1,0,0
64,0,0,1,1
65,0,0,1,0
66,0,0,0,1
67,0,1,0,0
68,1,0,0,0
69,0,0,1,1
70,0,1,1,0
71,0,0,1,0
72,1,0,0,0
