客戶,貨物數,總才積
1,2,611296
2,3,744272
3,2,498660
4,2,250578
5,3,390976
6,3,591744
7,2,165496
8,3,582376
9,3,837196
10,1,260820
11,2,546606
12,2,300352
13,1,18975
14,1,404544
15,3,875116
16,3,485716
17,1,93600
18,3,1076920
19,1,164820
20,3,536610
21,3,574284
22,1,74844
23,3,830184
24,2,405978
25,1,260820
26,1,74844
27,3,1161272
28,2,480684
29,3,518236
30,3,199788
31,1,260820
32,1,76140
33,1,249000
34,2,184224
35,2,311484
36,2,279795
37,1,164820
38,2,561522
39,2,371572
40,1,164820
41,2,323844
42,3,531256
43,1,249660
44,2,236716
45,1,164820
46,1,122400
47,1,260820
48,2,112575
