客戶,貨物數,總才積
1,2,169740
2,3,950490
3,1,249660
4,2,315921
5,2,371572
6,1,404544
7,1,61824
8,1,549976
9,3,357736
10,2,653544
11,1,249000
12,1,249000
13,2,701490
14,3,603084
15,2,405978
16,1,18975
17,3,372978
18,3,435626
19,3,213271
20,3,618502
21,2,150984
22,2,498000
23,1,156978
24,1,164820
25,3,436773
26,2,239664
27,2,112575
28,2,342600
29,1,93600
30,2,406638
31,1,74844
32,3,1222352
33,3,703584
34,3,1059796
35,2,672376
36,3,880984
37,2,300352
38,1,549976
39,2,233118
40,1,61824
41,3,966066
42,1,74844
43,1,93600
44,2,799636
45,3,870872
46,3,465660
47,1,206752
48,3,387817
49,3,414496
50,1,404544
51,1,549976
52,1,296946
53,1,549976
54,3,208564
55,2,466368
56,2,510480
57,1,76140
58,2,184224
59,3,858468
60,3,446244
61,3,491242
62,1,76140
63,3,528378
64,2,672376
65,1,404544
66,1,18975
67,2,405978
68,2,423519
69,1,206752
70,2,498660
71,2,453924
72,1,260820
