客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,1,1,0
2,0,0,0,1
3,1,0,0,0
4,0,0,0,1
5,0,0,0,1
6,0,1,0,0
7,1,0,0,0
8,0,1,0,0
9,1,0,0,0
10,1,0,0,0
11,0,0,1,1
12,1,0,0,0
13,0,0,1,1
14,0,0,1,0
15,0,1,1,0
16,0,0,1,0
17,0,0,0,1
18,1,1,0,0
19,0,0,1,1
20,0,1,1,0
21,0,0,0,1
22,0,1,0,0
23,0,0,1,1
24,0,0,0,1
25,0,0,0,1
26,0,0,1,1
27,1,0,0,0
28,1,0,0,0
29,0,0,1,1
30,0,0,1,1
31,0,1,1,0
32,1,1,0,0
33,0,1,0,0
34,0,0,0,1
35,0,1,0,0
36,1,1,0,0
37,0,1,0,0
38,0,0,1,0
39,0,0,0,1
40,0,0,0,1
41,1,0,0,0
42,0,1,1,0
43,0,0,1,0
44,0,0,0,1
45,0,1,0,0
46,0,0,1,1
47,0,0,1,0
48,0,0,1,0
49,1,0,0,0
50,0,0,0,1
51,0,0,1,0
52,0,1,0,0
53,0,0,1,0
54,0,0,1,0
55,1,1,0,0
56,0,1,0,0
57,1,0,0,0
58,0,1,0,0
59,0,1,0,0
60,0,0,1,1
61,1,1,0,0
62,0,0,1,1
63,0,0,1,1
64,1,1,0,0
65,1,0,0,0
66,0,0,1,0
67,0,0,1,1
68,0,1,1,0
69,0,0,1,0
70,1,0,0,0
71,0,0,1,0
72,0,1,0,0
