客戶,貨物數,總才積
1,2,809088
2,1,156978
3,3,361575
4,3,390976
5,1,296946
6,2,155424
7,1,296946
8,1,122400
9,3,715472
10,2,373086
11,3,269553
12,2,148036
13,1,76140
14,2,282892
15,1,93600
16,1,296946
17,1,122400
18,2,146740
19,2,373086
20,1,18975
21,3,1096582
22,3,495415
23,3,425613
24,1,549976
25,3,645091
26,3,355935
27,3,405292
28,2,456412
29,1,76140
30,3,342819
31,3,711426
32,2,233118
33,3,390547
34,3,622086
35,2,240960
36,3,622746
37,3,639546
38,1,404544
39,2,112575
40,3,537906
41,3,719716
42,2,368842
43,3,620400
44,3,227320
45,1,249000
46,2,332716
47,2,323844
48,1,296946
49,2,653544
50,2,417798
51,2,611800
52,3,610902
53,3,484146
54,3,351274
55,1,74844
56,1,71896
57,3,356440
58,1,76140
59,3,860800
60,2,267975
61,2,216000
62,2,329640
63,1,164820
64,3,768778
65,2,611800
66,3,329799
67,3,516975
68,2,342600
69,1,61824
70,3,424953
71,3,301488
72,2,546606
73,1,206752
74,2,321798
75,2,461766
76,3,645091
77,1,249660
78,2,414480
79,1,74844
80,1,156978
81,2,321556
82,1,74844
83,3,875116
84,3,1006388
