客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,1,1
2,1,0,0,0
3,1,0,0,0
4,0,0,0,1
5,1,0,0,0
6,0,0,1,0
7,1,0,0,0
8,1,0,0,0
9,0,0,0,1
10,0,0,1,1
11,0,0,1,0
12,0,0,1,1
13,0,1,0,0
14,1,0,0,0
15,1,1,0,0
16,0,0,1,0
17,0,0,1,1
18,1,1,0,0
19,0,1,0,0
20,0,1,1,0
21,0,0,1,1
22,0,0,0,1
23,0,0,0,1
24,0,0,0,1
25,0,0,1,0
26,0,0,0,1
27,0,1,0,0
28,0,0,1,1
29,0,0,1,0
30,0,1,0,0
31,0,1,1,0
32,1,0,0,0
33,0,1,1,0
34,0,1,1,0
35,1,0,0,0
36,1,0,0,0
37,1,0,0,0
38,0,0,1,0
39,1,1,0,0
40,1,0,0,0
41,0,0,1,0
42,0,0,1,1
43,0,1,0,0
44,0,1,0,0
45,0,1,0,0
46,0,0,0,1
47,0,0,1,1
48,0,0,1,0
49,0,0,1,0
50,0,0,0,1
51,0,0,1,1
52,0,0,0,1
53,0,1,0,0
54,0,0,1,1
55,0,1,1,0
56,0,0,0,1
57,1,1,0,0
58,1,0,0,0
59,0,1,1,0
60,0,1,0,0
61,0,0,1,0
62,0,0,1,1
63,0,1,0,0
64,0,0,1,1
65,0,1,0,0
66,1,1,0,0
67,0,0,0,1
68,0,1,0,0
69,0,0,1,0
70,0,0,1,1
71,0,0,1,1
72,1,1,0,0
73,0,0,0,1
74,0,0,1,0
75,0,1,0,0
76,0,0,0,1
77,0,1,0,0
78,0,1,1,0
79,0,0,1,0
80,0,0,1,0
81,0,0,0,1
82,1,0,0,0
83,1,0,0,0
84,1,1,0,0
