區域,起點,終點
0,0,82
0,0,2
0,0,35
0,0,18
0,0,66
0,0,15
0,0,39
0,0,84
0,0,14
0,0,40
0,0,72
0,0,5
0,0,32
0,0,57
0,0,8
0,0,58
0,0,36
0,0,7
0,0,3
0,0,37
0,0,83
0,82,2
0,82,35
0,82,18
0,82,66
0,82,15
0,82,39
0,82,84
0,82,14
0,82,40
0,82,72
0,82,5
0,82,32
0,82,57
0,82,8
0,82,58
0,82,36
0,82,7
0,82,3
0,82,37
0,82,83
0,82,0
0,2,35
0,2,18
0,2,66
0,2,15
0,2,39
0,2,84
0,2,14
0,2,40
0,2,72
0,2,5
0,2,32
0,2,57
0,2,8
0,2,58
0,2,36
0,2,7
0,2,3
0,2,37
0,2,83
0,2,0
0,35,18
0,35,66
0,35,15
0,35,39
0,35,84
0,35,14
0,35,40
0,35,72
0,35,5
0,35,32
0,35,57
0,35,8
0,35,58
0,35,36
0,35,7
0,35,3
0,35,37
0,35,83
0,35,0
0,18,66
0,18,15
0,18,39
0,18,84
0,18,14
0,18,40
0,18,72
0,18,5
0,18,32
0,18,57
0,18,8
0,18,58
0,18,36
0,18,7
0,18,3
0,18,37
0,18,83
0,18,0
0,66,15
0,66,39
0,66,84
0,66,14
0,66,40
0,66,72
0,66,5
0,66,32
0,66,57
0,66,8
0,66,58
0,66,36
0,66,7
0,66,3
0,66,37
0,66,83
0,66,0
0,15,39
0,15,84
0,15,14
0,15,40
0,15,72
0,15,5
0,15,32
0,15,57
0,15,8
0,15,58
0,15,36
0,15,7
0,15,3
0,15,37
0,15,83
0,15,0
0,39,84
0,39,14
0,39,40
0,39,72
0,39,5
0,39,32
0,39,57
0,39,8
0,39,58
0,39,36
0,39,7
0,39,3
0,39,37
0,39,83
0,39,0
0,84,14
0,84,40
0,84,72
0,84,5
0,84,32
0,84,57
0,84,8
0,84,58
0,84,36
0,84,7
0,84,3
0,84,37
0,84,83
0,84,0
0,14,40
0,14,72
0,14,5
0,14,32
0,14,57
0,14,8
0,14,58
0,14,36
0,14,7
0,14,3
0,14,37
0,14,83
0,14,0
0,40,72
0,40,5
0,40,32
0,40,57
0,40,8
0,40,58
0,40,36
0,40,7
0,40,3
0,40,37
0,40,83
0,40,0
0,72,5
0,72,32
0,72,57
0,72,8
0,72,58
0,72,36
0,72,7
0,72,3
0,72,37
0,72,83
0,72,0
0,5,32
0,5,57
0,5,8
0,5,58
0,5,36
0,5,7
0,5,3
0,5,37
0,5,83
0,5,0
0,32,57
0,32,8
0,32,58
0,32,36
0,32,7
0,32,3
0,32,37
0,32,83
0,32,0
0,57,8
0,57,58
0,57,36
0,57,7
0,57,3
0,57,37
0,57,83
0,57,0
0,8,58
0,8,36
0,8,7
0,8,3
0,8,37
0,8,83
0,8,0
0,58,36
0,58,7
0,58,3
0,58,37
0,58,83
0,58,0
0,36,7
0,36,3
0,36,37
0,36,83
0,36,0
0,7,3
0,7,37
0,7,83
0,7,0
0,3,37
0,3,83
0,3,0
0,37,83
0,37,0
0,83,0
1,0,39
1,0,53
1,0,72
1,0,68
1,0,60
1,0,57
1,0,13
1,0,27
1,0,63
1,0,31
1,0,59
1,0,78
1,0,20
1,0,45
1,0,55
1,0,15
1,0,34
1,0,75
1,0,43
1,0,44
1,0,84
1,0,77
1,0,65
1,0,30
1,0,66
1,0,18
1,0,19
1,0,33
1,39,53
1,39,72
1,39,68
1,39,60
1,39,57
1,39,13
1,39,27
1,39,63
1,39,31
1,39,59
1,39,78
1,39,20
1,39,45
1,39,55
1,39,15
1,39,34
1,39,75
1,39,43
1,39,44
1,39,84
1,39,77
1,39,65
1,39,30
1,39,66
1,39,18
1,39,19
1,39,33
1,39,0
1,53,72
1,53,68
1,53,60
1,53,57
1,53,13
1,53,27
1,53,63
1,53,31
1,53,59
1,53,78
1,53,20
1,53,45
1,53,55
1,53,15
1,53,34
1,53,75
1,53,43
1,53,44
1,53,84
1,53,77
1,53,65
1,53,30
1,53,66
1,53,18
1,53,19
1,53,33
1,53,0
1,72,68
1,72,60
1,72,57
1,72,13
1,72,27
1,72,63
1,72,31
1,72,59
1,72,78
1,72,20
1,72,45
1,72,55
1,72,15
1,72,34
1,72,75
1,72,43
1,72,44
1,72,84
1,72,77
1,72,65
1,72,30
1,72,66
1,72,18
1,72,19
1,72,33
1,72,0
1,68,60
1,68,57
1,68,13
