客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,1,0,0
2,0,0,1,1
3,0,0,1,1
4,0,0,1,0
5,0,0,1,1
6,0,0,1,0
7,0,0,0,1
8,0,0,1,1
9,0,0,1,0
10,1,1,0,0
11,0,0,1,0
12,0,1,0,0
13,0,0,1,1
14,1,0,0,0
15,0,0,1,0
16,0,1,0,0
17,0,0,0,1
18,0,1,0,0
19,1,0,0,0
20,0,1,1,0
21,1,1,0,0
22,0,0,1,0
23,1,0,0,0
24,0,0,0,1
25,0,0,0,1
26,0,0,0,1
27,0,1,0,0
28,1,0,0,0
29,0,1,1,0
30,1,0,0,0
31,0,0,1,0
32,1,0,0,0
33,0,1,0,0
34,0,0,0,1
35,1,0,0,0
36,1,1,0,0
37,0,0,1,1
38,0,1,0,0
39,0,0,1,0
40,1,0,0,0
41,0,1,1,0
42,1,0,0,0
43,1,0,0,0
44,0,1,0,0
45,0,0,1,1
46,0,0,0,1
47,0,0,0,1
48,0,1,1,0
49,0,0,0,1
50,0,1,0,0
51,0,1,0,0
52,0,0,1,0
53,1,1,0,0
54,0,0,1,1
55,0,1,1,0
56,0,0,1,0
57,0,0,0,1
58,0,0,1,1
59,0,0,1,1
60,1,1,0,0
