客戶,貨物,材積,長,寬,高,方向1,方向2,方向3,方向4,方向5,方向6,脆弱性
1,1,296946,81,78,47,0,0,1,1,1,0,0
1,2,18975,33,25,23,1,0,1,1,1,0,0
2,1,18975,33,25,23,1,1,1,1,1,1,0
3,1,156978,57,51,54,1,1,0,0,1,0,1
4,1,71896,86,38,22,0,0,1,1,1,1,1
5,1,404544,84,112,43,1,1,0,1,1,0,0
5,2,61824,92,12,56,0,0,1,1,1,1,0
5,3,71896,86,38,22,1,1,1,0,0,1,0
6,1,156978,57,51,54,0,1,1,0,1,1,0
6,2,549976,98,122,46,0,0,0,1,1,1,0
7,1,122400,50,51,48,0,0,1,1,0,0,0
7,2,260820,92,81,35,0,0,1,1,1,1,0
7,3,249000,83,100,30,1,1,0,1,0,1,0
8,1,122400,50,51,48,1,1,0,0,0,1,0
8,2,61824,92,12,56,1,0,1,1,1,1,0
9,1,549976,98,122,46,1,0,0,0,1,1,0
9,2,206752,91,71,32,0,0,1,0,0,0,0
9,3,18975,33,25,23,0,1,1,1,0,1,0
10,1,249000,83,100,30,0,1,0,1,0,1,0
10,2,249000,83,100,30,0,0,0,1,0,1,0
11,1,122400,50,51,48,1,1,0,1,1,1,1
11,2,206752,91,71,32,0,1,1,1,1,1,0
11,3,249660,73,57,60,1,1,1,1,0,1,0
12,1,76140,47,36,45,1,0,1,1,0,0,0
