客戶,貨物,材積,長,寬,高,方向1,方向2,方向3,方向4,方向5,方向6,脆弱性
1,1,404544,84,112,43,0,1,0,0,1,1,1
1,2,206752,91,71,32,1,0,1,1,1,1,0
2,1,549976,98,122,46,1,0,0,1,1,0,0
2,2,122400,50,51,48,1,1,1,1,1,0,0
2,3,71896,86,38,22,1,0,0,1,1,1,1
3,1,249000,83,100,30,1,1,0,0,1,1,0
3,2,249660,73,57,60,1,0,1,1,1,1,0
4,1,156978,57,51,54,1,1,1,1,1,1,0
4,2,93600,40,39,60,1,1,0,0,1,1,1
5,1,206752,91,71,32,1,1,1,1,1,1,0
5,2,61824,92,12,56,1,1,1,0,0,1,0
5,3,122400,50,51,48,0,1,0,0,1,0,0
6,1,404544,84,112,43,1,1,0,0,1,0,0
6,2,93600,40,39,60,0,1,1,0,0,1,1
6,3,93600,40,39,60,1,0,1,0,0,1,1
7,1,93600,40,39,60,1,1,1,0,1,0,0
7,2,71896,86,38,22,1,0,0,1,0,1,0
8,1,260820,92,81,35,0,1,1,1,1,0,0
8,2,71896,86,38,22,1,0,0,1,1,0,0
8,3,249660,73,57,60,1,1,0,0,1,0,0
9,1,549976,98,122,46,1,1,0,0,1,1,0
9,2,164820,82,67,30,1,1,1,1,0,1,0
9,3,122400,50,51,48,1,0,0,1,1,1,0
10,1,260820,92,81,35,0,0,0,0,0,1,0
11,1,249660,73,57,60,1,0,1,1,0,1,0
11,2,296946,81,78,47,0,1,0,0,1,0,1
12,1,93600,40,39,60,0,0,1,0,1,1,0
12,2,206752,91,71,32,1,1,0,1,0,0,0
13,1,18975,33,25,23,1,0,1,1,0,1,0
14,1,404544,84,112,43,0,0,1,1,1,1,0
15,1,249000,83,100,30,1,1,1,1,0,1,0
15,2,549976,98,122,46,0,1,0,1,1,1,0
15,3,76140,47,36,45,0,1,1,1,0,1,0
16,1,164820,82,67,30,0,1,1,1,0,1,0
16,2,249000,83,100,30,1,0,1,1,0,0,0
16,3,71896,86,38,22,0,0,1,1,1,1,1
17,1,93600,40,39,60,0,0,1,0,0,0,1
18,1,122400,50,51,48,1,1,1,1,0,1,0
18,2,549976,98,122,46,0,0,1,0,1,1,0
18,3,404544,84,112,43,1,0,0,1,1,0,0
19,1,164820,82,67,30,0,0,1,1,1,1,0
20,1,164820,82,67,30,0,1,1,0,1,1,0
20,2,296946,81,78,47,0,0,1,0,1,0,0
