客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,1,0,0,0
2,1,0,0,0
3,0,1,0,0
4,0,0,1,0
5,0,0,1,1
6,0,0,1,0
7,0,0,0,1
8,0,0,0,1
9,0,1,1,0
10,0,0,1,0
11,0,1,0,0
12,0,0,1,1
13,0,0,1,1
14,0,0,1,0
15,1,0,0,0
16,1,0,0,0
17,0,0,1,0
18,0,1,0,0
19,0,0,1,1
20,1,0,0,0
21,1,1,0,0
22,0,1,1,0
23,0,0,1,1
24,0,0,0,1
25,0,1,0,0
26,1,0,0,0
27,0,0,0,1
28,0,1,0,0
29,0,1,0,0
30,1,1,0,0
31,0,0,0,1
32,0,0,1,1
33,0,1,0,0
34,0,0,1,0
35,1,1,0,0
36,1,0,0,0
37,0,0,0,1
38,0,1,0,0
39,0,1,1,0
40,0,0,1,1
41,0,0,1,0
42,0,1,1,0
43,0,0,0,1
44,0,1,1,0
45,0,0,1,0
46,0,0,0,1
47,0,0,1,1
48,0,0,0,1
49,1,0,0,0
50,0,0,1,0
51,0,1,0,0
52,0,0,1,1
53,0,0,1,1
54,0,0,1,1
55,1,0,0,0
56,0,1,1,0
57,1,0,0,0
58,0,1,0,0
59,1,0,0,0
60,1,1,0,0
61,1,1,0,0
62,0,1,0,0
63,0,1,0,0
64,0,1,0,0
65,0,0,1,1
66,0,0,1,0
67,1,0,0,0
68,0,0,1,1
69,0,1,0,0
70,0,0,0,1
71,1,0,0,0
72,1,1,0,0
73,0,0,0,1
74,0,0,1,0
75,0,0,1,1
76,0,0,0,1
77,1,0,0,0
78,1,1,0,0
79,0,0,0,1
80,0,1,1,0
81,0,0,1,0
82,0,0,0,1
83,0,0,1,0
84,0,0,1,0
