客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,1,1
2,1,0,0,0
3,0,0,0,1
4,0,0,1,1
5,0,0,0,1
6,1,0,0,0
7,0,0,0,1
8,0,0,1,0
9,0,1,0,0
10,0,0,1,1
11,1,0,0,0
12,0,0,1,1
13,0,0,0,1
14,0,0,1,0
15,0,0,1,0
16,1,1,0,0
17,0,0,0,1
18,0,0,1,1
19,1,1,0,0
20,0,0,1,1
21,0,0,1,0
22,0,1,0,0
23,0,0,0,1
24,0,1,0,0
25,0,0,1,0
26,0,1,0,0
27,0,1,0,0
28,1,0,0,0
29,0,0,0,1
30,1,0,0,0
31,0,0,1,0
32,0,0,0,1
33,0,1,1,0
34,1,0,0,0
35,1,0,0,0
36,1,1,0,0
37,0,1,1,0
38,0,1,1,0
39,0,1,0,0
40,0,0,1,0
41,0,0,1,0
42,0,1,1,0
43,0,0,1,1
44,1,0,0,0
45,0,0,1,1
46,0,1,0,0
47,1,1,0,0
48,0,1,0,0
