客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,1,0
2,0,0,1,0
3,0,1,0,0
4,0,0,1,0
5,0,1,1,0
6,0,0,1,1
7,1,0,0,0
8,1,1,0,0
9,0,0,1,1
10,1,0,0,0
11,1,0,0,0
12,0,0,1,0
13,0,0,0,1
14,1,0,0,0
15,0,0,1,0
16,0,1,0,0
17,1,0,0,0
18,0,1,0,0
19,0,0,1,1
20,0,1,0,0
21,0,0,1,1
22,0,0,1,1
23,0,0,1,0
24,0,0,0,1
25,0,0,1,0
26,1,1,0,0
27,0,0,1,1
28,1,1,0,0
29,0,1,0,0
30,0,0,0,1
31,0,0,1,1
32,1,0,0,0
33,0,1,1,0
34,0,0,0,1
35,0,0,1,0
36,1,0,0,0
37,0,0,1,1
38,0,1,1,0
39,0,0,0,1
40,0,0,0,1
41,1,0,0,0
42,0,1,0,0
43,1,1,0,0
44,0,0,0,1
45,0,1,1,0
46,0,1,0,0
47,0,0,0,1
48,0,1,0,0
