客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,1,0,0
2,0,0,0,1
3,0,0,0,1
4,0,0,0,1
5,0,0,1,0
6,1,0,0,0
7,0,0,1,1
8,0,0,1,1
9,1,0,0,0
10,0,1,0,0
11,0,0,1,0
12,1,0,0,0
13,0,0,1,1
14,1,0,0,0
15,1,0,0,0
16,1,1,0,0
17,0,0,1,0
18,1,0,0,0
19,0,0,0,1
20,1,0,0,0
21,0,1,0,0
22,0,1,0,0
23,1,1,0,0
24,0,1,0,0
25,0,0,1,0
26,0,0,0,1
27,0,1,1,0
28,0,1,0,0
29,1,0,0,0
30,0,0,1,1
31,0,0,1,1
32,1,0,0,0
33,0,0,1,1
34,0,0,1,0
35,0,0,0,1
36,0,0,0,1
37,0,1,0,0
38,0,0,1,1
39,0,0,1,0
40,1,0,0,0
41,0,1,0,0
42,0,1,0,0
43,0,0,1,0
44,0,1,1,0
45,0,0,0,1
46,0,0,1,0
47,0,1,1,0
48,0,0,0,1
49,1,1,0,0
50,1,1,0,0
51,0,1,0,0
52,0,1,0,0
53,0,0,1,1
54,0,0,1,0
55,0,0,0,1
56,0,0,1,1
57,0,1,0,0
58,0,0,0,1
59,1,1,0,0
60,0,0,1,0
61,0,0,0,1
62,0,0,1,1
63,0,1,0,0
64,1,1,0,0
65,0,0,1,1
66,0,0,1,1
67,0,1,1,0
68,0,0,1,0
69,0,0,1,0
70,0,1,0,0
71,0,1,1,0
72,1,1,0,0
73,0,0,0,1
74,0,0,1,1
75,1,0,0,0
76,0,0,1,0
77,0,0,0,1
78,1,0,0,0
79,0,0,1,0
80,1,0,0,0
81,0,1,1,0
82,0,0,1,1
83,0,1,1,0
84,1,0,0,0
