客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,1,0,0,0
2,0,1,0,0
3,0,1,1,0
4,1,1,0,0
5,0,0,1,1
6,0,0,1,0
7,0,0,1,0
8,0,1,0,0
9,0,1,1,0
10,0,1,1,0
11,0,0,1,1
12,0,0,0,1
13,0,1,1,0
14,0,1,1,0
15,1,0,0,0
16,0,0,1,1
17,1,0,0,0
18,0,0,1,1
19,0,0,1,0
20,1,0,0,0
21,0,0,1,0
22,0,0,1,0
23,0,0,0,1
24,1,0,0,0
25,1,0,0,0
26,0,0,0,1
27,0,0,1,1
28,0,0,1,0
29,0,0,1,0
30,0,0,1,1
31,0,0,0,1
32,0,0,0,1
33,0,0,1,1
34,1,0,0,0
35,1,0,0,0
36,0,0,1,1
37,0,0,1,1
38,0,0,0,1
39,0,0,1,0
40,0,1,0,0
41,0,1,0,0
42,0,0,0,1
43,0,0,1,0
44,0,0,0,1
45,0,0,1,0
46,0,0,1,0
47,0,0,1,1
48,0,0,0,1
49,1,1,0,0
50,0,1,0,0
51,1,1,0,0
52,1,0,0,0
53,0,0,1,0
54,0,1,0,0
55,1,1,0,0
56,0,1,0,0
57,0,1,1,0
58,0,1,0,0
59,1,1,0,0
60,1,0,0,0
61,0,1,0,0
62,0,1,0,0
63,0,0,0,1
64,1,0,0,0
65,1,0,0,0
66,0,0,0,1
67,0,1,0,0
68,1,1,0,0
69,0,0,1,1
70,0,0,0,1
71,0,0,1,1
72,0,1,0,0
