區域,起點,終點
0,0,6
0,0,19
0,0,21
0,0,11
0,0,13
0,0,8
0,6,19
0,6,21
0,6,11
0,6,13
0,6,8
0,6,0
0,19,21
0,19,11
0,19,13
0,19,8
0,19,0
0,21,11
0,21,13
0,21,8
0,21,0
0,11,13
0,11,8
0,11,0
0,13,8
0,13,0
0,8,0
1,0,23
1,0,16
1,0,13
1,0,7
1,0,9
1,0,17
1,0,22
1,0,21
1,23,16
1,23,13
1,23,7
1,23,9
1,23,17
1,23,22
1,23,21
1,23,0
1,16,13
1,16,7
1,16,9
1,16,17
1,16,22
1,16,21
1,16,0
1,13,7
1,13,9
1,13,17
1,13,22
1,13,21
1,13,0
1,7,9
1,7,17
1,7,22
1,7,21
1,7,0
1,9,17
1,9,22
1,9,21
1,9,0
1,17,22
1,17,21
1,17,0
1,22,21
1,22,0
1,21,0
2,0,3
2,0,2
2,0,12
2,0,24
2,0,4
2,0,20
2,0,15
2,0,5
2,0,22
2,0,16
2,3,2
2,3,12
2,3,24
2,3,4
2,3,20
2,3,15
2,3,5
2,3,22
2,3,16
2,3,0
2,2,12
2,2,24
2,2,4
2,2,20
2,2,15
2,2,5
2,2,22
2,2,16
2,2,0
2,12,24
2,12,4
2,12,20
2,12,15
2,12,5
2,12,22
2,12,16
2,12,0
2,24,4
2,24,20
2,24,15
2,24,5
2,24,22
2,24,16
2,24,0
2,4,20
2,4,15
2,4,5
2,4,22
2,4,16
2,4,0
2,20,15
2,20,5
2,20,22
2,20,16
2,20,0
2,15,5
2,15,22
2,15,16
2,15,0
2,5,22
2,5,16
2,5,0
2,22,16
2,22,0
2,16,0
3,0,5
3,0,10
3,0,2
3,0,3
3,0,18
3,0,14
3,0,12
3,0,1
3,5,10
3,5,2
3,5,3
3,5,18
3,5,14
3,5,12
3,5,1
3,5,0
3,10,2
3,10,3
3,10,18
3,10,14
3,10,12
3,10,1
3,10,0
3,2,3
3,2,18
3,2,14
3,2,12
3,2,1
3,2,0
3,3,18
3,3,14
3,3,12
3,3,1
3,3,0
3,18,14
3,18,12
3,18,1
3,18,0
3,14,12
3,14,1
3,14,0
3,12,1
3,12,0
3,1,0
