客戶,貨物,材積,長,寬,高,方向1,方向2,方向3,方向4,方向5,方向6,脆弱性
1,1,404544,84,112,43,1,1,1,1,1,1,1
1,2,404544,84,112,43,1,1,1,1,0,0,0
2,1,156978,57,51,54,0,1,1,1,0,1,0
3,1,93600,40,39,60,0,1,1,0,1,1,0
3,2,249000,83,100,30,1,0,1,1,0,0,0
3,3,18975,33,25,23,1,0,1,0,0,1,0
4,1,206752,91,71,32,1,1,0,1,0,0,0
4,2,61824,92,12,56,1,1,0,0,1,1,0
4,3,122400,50,51,48,1,1,0,0,1,1,0
5,1,296946,81,78,47,1,0,1,0,1,0,0
6,1,61824,92,12,56,0,1,1,0,1,1,0
6,2,93600,40,39,60,0,0,0,1,1,1,0
7,1,296946,81,78,47,1,0,0,0,0,1,0
8,1,122400,50,51,48,0,1,1,1,1,1,0
9,1,93600,40,39,60,1,0,1,0,1,0,0
9,2,549976,98,122,46,0,0,1,1,0,1,1
9,3,71896,86,38,22,1,1,0,0,0,0,0
10,1,76140,47,36,45,0,0,1,1,0,1,0
10,2,296946,81,78,47,1,0,0,1,0,0,1
11,1,93600,40,39,60,0,1,0,1,0,1,0
11,2,18975,33,25,23,1,0,0,1,1,1,0
11,3,156978,57,51,54,0,1,1,0,0,1,0
12,1,71896,86,38,22,0,0,0,1,1,0,0
12,2,76140,47,36,45,0,0,1,1,0,1,0
13,1,76140,47,36,45,1,0,1,0,0,1,0
14,1,76140,47,36,45,0,1,1,0,1,1,0
14,2,206752,91,71,32,0,1,1,1,0,1,0
15,1,93600,40,39,60,1,1,1,1,1,1,0
16,1,296946,81,78,47,0,1,1,1,1,1,0
17,1,122400,50,51,48,1,1,1,1,1,1,0
18,1,74844,81,33,28,1,0,1,1,1,1,0
18,2,71896,86,38,22,0,1,0,1,0,0,0
19,1,76140,47,36,45,0,0,0,0,1,0,1
19,2,296946,81,78,47,1,0,0,1,1,0,0
20,1,18975,33,25,23,1,0,1,1,1,1,0
21,1,296946,81,78,47,1,1,1,0,1,1,0
21,2,249660,73,57,60,0,0,1,1,0,1,0
21,3,549976,98,122,46,0,1,0,1,0,0,0
22,1,18975,33,25,23,0,0,1,1,1,0,0
22,2,71896,86,38,22,1,1,1,1,1,1,1
22,3,404544,84,112,43,1,0,0,0,1,1,1
23,1,249660,73,57,60,1,0,1,0,0,0,0
23,2,18975,33,25,23,1,1,1,0,1,0,0
23,3,156978,57,51,54,1,1,1,1,1,0,0
24,1,549976,98,122,46,1,0,1,0,1,1,0
