客戶,貨物數,總才積
1,2,653544
2,2,315921
3,2,706954
4,2,545946
5,1,71896
6,1,404544
7,3,781798
8,2,371790
9,3,216219
10,2,466368
11,3,674324
12,1,549976
13,1,93600
14,3,886936
15,1,164820
16,2,282892
17,1,549976
18,1,156978
19,1,249000
20,3,343420
21,1,206752
22,1,296946
23,1,249000
24,1,549976
25,1,74844
26,3,737260
27,1,76140
28,3,574800
29,1,74844
30,1,260820
31,3,673624
32,1,164820
33,3,277395
34,3,319644
35,2,287220
36,3,425554
37,1,93600
38,1,260820
39,3,829771
40,3,234975
41,3,397488
42,3,433884
43,3,458064
44,3,532552
45,1,93600
46,1,122400
47,1,206752
48,2,169740
49,1,260820
50,3,243288
51,2,372060
52,2,226644
53,2,141375
54,2,479388
55,1,74844
56,2,169740
57,3,622086
58,2,231822
59,3,875776
60,1,249000
61,1,93600
62,3,486547
63,2,279795
64,2,146740
65,3,678618
66,1,74844
67,1,296946
68,2,175953
69,3,790936
70,2,521640
71,3,488348
72,1,549976
