客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,1,0,0
2,0,1,1,0
3,0,0,0,1
4,1,0,0,0
5,0,0,1,0
6,0,1,0,0
7,1,1,0,0
8,0,0,1,1
9,0,0,0,1
10,1,0,0,0
11,1,0,0,0
12,1,1,0,0
13,1,0,0,0
14,0,0,1,1
15,0,0,1,0
16,0,0,1,0
17,1,1,0,0
18,0,0,1,0
19,0,0,0,1
20,1,0,0,0
21,1,1,0,0
22,0,1,0,0
23,0,0,1,1
24,0,1,0,0
25,0,0,1,0
26,0,1,0,0
27,0,0,1,1
28,0,0,1,1
29,0,1,1,0
30,0,0,1,1
31,0,0,0,1
32,1,0,0,0
33,0,0,0,1
34,0,1,1,0
35,0,0,0,1
36,0,0,1,1
37,0,1,1,0
38,0,0,0,1
39,0,0,1,0
40,0,1,0,0
41,0,0,1,0
42,0,0,0,1
43,1,0,0,0
44,0,1,0,0
45,1,0,0,0
46,0,0,1,0
47,0,1,0,0
48,0,0,1,1
