客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,0,1
2,0,0,0,1
3,0,0,1,0
4,0,0,1,1
5,0,0,1,1
6,0,0,0,1
7,0,1,1,0
8,1,1,0,0
9,0,0,1,1
10,0,0,1,0
11,0,0,1,0
12,0,1,1,0
13,0,0,1,0
14,0,0,1,0
15,0,1,0,0
16,1,0,0,0
17,1,0,0,0
18,0,0,1,1
19,0,0,1,1
20,1,0,0,0
21,0,1,0,0
22,0,1,1,0
23,0,0,0,1
24,0,0,1,0
25,0,0,0,1
26,1,1,0,0
27,1,0,0,0
28,0,1,0,0
29,0,0,1,0
30,0,0,0,1
31,0,0,1,1
32,0,1,0,0
33,0,1,0,0
34,1,1,0,0
35,1,1,0,0
36,0,0,1,0
37,0,0,1,1
38,1,0,0,0
39,1,0,0,0
40,0,0,0,1
41,0,0,0,1
42,0,0,1,1
43,0,0,1,1
44,0,1,0,0
45,0,1,0,0
46,0,1,0,0
47,1,0,0,0
48,0,1,0,0
49,1,0,0,0
50,1,1,0,0
51,0,0,1,0
52,0,0,0,1
53,1,0,0,0
54,0,0,1,1
55,0,0,0,1
56,1,0,0,0
57,0,0,1,0
58,0,1,0,0
59,0,1,1,0
60,0,1,1,0
