客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,1,1
2,1,0,0,0
3,1,0,0,0
4,0,1,0,0
5,0,0,1,1
6,0,0,1,1
7,0,0,1,1
8,0,0,1,0
9,0,1,1,0
10,0,0,0,1
11,1,1,0,0
12,0,1,0,0
13,0,0,1,0
14,0,0,0,1
15,0,0,0,1
16,0,0,1,1
17,1,0,0,0
18,0,0,1,1
19,0,0,1,0
20,1,0,0,0
21,0,1,1,0
22,0,0,1,0
23,0,0,1,0
24,1,0,0,0
25,0,0,1,0
26,0,0,0,1
27,0,1,0,0
28,0,0,1,0
29,0,1,0,0
30,0,0,0,1
31,0,0,0,1
32,0,1,0,0
33,0,0,0,1
34,0,1,0,0
35,1,0,0,0
36,0,1,0,0
37,0,1,0,0
38,0,0,0,1
39,0,0,1,0
40,0,0,0,1
41,1,1,0,0
42,1,1,0,0
43,0,0,1,1
44,1,1,0,0
45,0,1,1,0
46,0,0,1,1
47,0,0,1,0
48,0,0,1,0
49,0,0,1,1
50,0,1,0,0
51,0,0,1,1
52,1,0,0,0
53,1,0,0,0
54,1,0,0,0
55,0,1,1,0
56,0,0,0,1
57,1,1,0,0
58,1,0,0,0
59,0,1,1,0
60,0,1,0,0
