客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,1,1
2,0,1,0,0
3,1,1,0,0
4,0,1,0,0
5,0,1,0,0
6,0,0,0,1
7,0,1,0,0
8,1,0,0,0
9,0,0,0,1
10,1,1,0,0
11,0,0,1,0
12,0,0,1,0
13,0,0,0,1
14,0,0,1,0
15,0,1,0,0
16,0,0,1,1
17,0,0,1,0
18,0,0,1,0
19,1,0,0,0
20,0,0,0,1
21,0,0,1,1
22,0,0,1,1
23,1,0,0,0
24,0,0,0,1
25,0,1,0,0
26,0,0,1,0
27,0,0,1,0
28,1,0,0,0
29,1,0,0,0
30,0,1,1,0
31,1,1,0,0
32,1,0,0,0
33,1,1,0,0
34,1,1,0,0
35,0,0,0,1
36,0,0,1,1
37,0,0,1,1
38,1,0,0,0
39,0,0,0,1
40,0,1,0,0
41,0,0,1,1
42,1,0,0,0
43,0,0,0,1
44,1,1,0,0
45,0,1,1,0
46,0,0,1,1
47,0,0,1,0
48,0,0,1,1
49,0,1,0,0
50,0,1,1,0
51,0,0,1,0
52,1,0,0,0
53,1,0,0,0
54,1,0,0,0
55,0,0,1,1
56,0,1,1,0
57,0,0,0,1
58,0,0,0,1
59,0,1,0,0
60,0,1,1,0
61,0,1,0,0
62,0,0,1,1
63,1,0,0,0
64,0,1,1,0
65,0,0,0,1
66,0,1,0,0
67,0,1,0,0
68,0,0,1,1
69,0,0,1,0
70,0,0,1,0
71,0,0,1,0
72,0,0,0,1
