客戶,貨物數,總才積
1,3,385668
2,2,226644
3,3,810522
4,3,619590
5,2,706954
6,2,90871
7,1,122400
8,3,781798
9,1,71896
10,3,397036
11,2,456412
12,1,18975
13,1,18975
14,1,76140
15,3,112794
16,1,206752
17,2,226644
18,1,549976
19,2,313956
20,1,156978
21,1,249660
22,2,93819
23,3,475387
24,2,321556
25,2,315921
26,2,218802
27,3,408856
28,2,250578
29,2,373086
30,1,122400
31,1,549976
32,2,371400
33,2,231822
34,2,546606
35,3,390976
36,2,419346
37,3,860956
38,1,164820
39,3,542508
40,2,279795
41,2,325800
42,2,335664
43,1,260820
44,3,578640
45,1,549976
46,2,80799
47,3,574284
48,3,302784
49,3,209860
50,2,282892
51,2,476440
52,2,624820
53,3,199788
54,2,672376
55,3,312402
56,2,321798
57,2,480684
58,1,249660
59,2,414480
60,2,371572
61,1,71896
62,3,551284
63,3,482118
64,1,164820
65,2,335664
66,2,498660
67,2,268635
68,1,71896
69,1,164820
70,3,495415
71,3,340773
72,2,526944
