客戶,貨物,材積,長,寬,高,方向1,方向2,方向3,方向4,方向5,方向6,脆弱性
1,1,164820,82,67,30,0,1,1,1,0,0,0
2,1,93600,40,39,60,1,1,0,1,0,0,0
2,2,404544,84,112,43,0,0,0,1,0,1,0
3,1,549976,98,122,46,0,1,0,0,0,1,0
3,2,74844,81,33,28,0,0,0,0,1,1,0
3,3,206752,91,71,32,1,0,1,1,1,0,1
4,1,404544,84,112,43,1,0,1,0,1,1,1
4,2,61824,92,12,56,1,1,1,0,1,0,0
4,3,156978,57,51,54,1,1,1,0,1,0,0
5,1,93600,40,39,60,1,1,0,0,1,1,0
5,2,549976,98,122,46,1,1,0,1,1,1,1
6,1,74844,81,33,28,0,1,0,0,0,1,1
6,2,260820,92,81,35,0,0,0,1,1,0,0
7,1,206752,91,71,32,1,1,1,1,0,0,0
7,2,164820,82,67,30,1,1,1,1,0,1,0
7,3,76140,47,36,45,1,1,1,1,0,0,1
8,1,206752,91,71,32,0,1,1,1,1,1,0
8,2,74844,81,33,28,1,0,1,1,1,1,0
8,3,260820,92,81,35,1,0,0,1,1,0,0
9,1,296946,81,78,47,0,1,1,0,0,0,1
9,2,156978,57,51,54,0,0,1,1,0,0,0
9,3,404544,84,112,43,1,0,1,1,0,1,0
10,1,71896,86,38,22,1,0,1,0,1,1,0
10,2,71896,86,38,22,1,0,1,0,0,1,0
11,1,249000,83,100,30,0,1,1,1,1,0,0
11,2,296946,81,78,47,1,0,1,1,1,1,0
12,1,404544,84,112,43,1,1,0,0,1,1,0
12,2,74844,81,33,28,1,0,1,0,1,0,0
12,3,164820,82,67,30,0,1,0,1,1,0,0
