區域,起點,終點
0,0,55
0,0,52
0,0,18
0,0,15
0,0,37
0,0,32
0,0,26
0,0,11
0,0,5
0,0,56
0,0,28
0,0,9
0,0,10
0,0,42
0,0,57
0,55,52
0,55,18
0,55,15
0,55,37
0,55,32
0,55,26
0,55,11
0,55,5
0,55,56
0,55,28
0,55,9
0,55,10
0,55,42
0,55,57
0,55,0
0,52,18
0,52,15
0,52,37
0,52,32
0,52,26
0,52,11
0,52,5
0,52,56
0,52,28
0,52,9
0,52,10
0,52,42
0,52,57
0,52,0
0,18,15
0,18,37
0,18,32
0,18,26
0,18,11
0,18,5
0,18,56
0,18,28
0,18,9
0,18,10
0,18,42
0,18,57
0,18,0
0,15,37
0,15,32
0,15,26
0,15,11
0,15,5
0,15,56
0,15,28
0,15,9
0,15,10
0,15,42
0,15,57
0,15,0
0,37,32
0,37,26
0,37,11
0,37,5
0,37,56
0,37,28
0,37,9
0,37,10
0,37,42
0,37,57
0,37,0
0,32,26
0,32,11
0,32,5
0,32,56
0,32,28
0,32,9
0,32,10
0,32,42
0,32,57
0,32,0
0,26,11
0,26,5
0,26,56
0,26,28
0,26,9
0,26,10
0,26,42
0,26,57
0,26,0
0,11,5
0,11,56
0,11,28
0,11,9
0,11,10
0,11,42
0,11,57
0,11,0
0,5,56
0,5,28
0,5,9
0,5,10
0,5,42
0,5,57
0,5,0
0,56,28
0,56,9
0,56,10
0,56,42
0,56,57
0,56,0
0,28,9
0,28,10
0,28,42
0,28,57
0,28,0
0,9,10
0,9,42
0,9,57
0,9,0
0,10,42
0,10,57
0,10,0
0,42,57
0,42,0
0,57,0
1,0,56
1,0,51
1,0,18
1,0,6
1,0,52
1,0,42
1,0,58
1,0,27
1,0,3
1,0,43
1,0,48
1,0,31
1,0,35
1,0,53
1,0,19
1,0,47
1,0,4
1,0,39
1,0,7
1,0,55
1,56,51
1,56,18
1,56,6
1,56,52
1,56,42
1,56,58
1,56,27
1,56,3
1,56,43
1,56,48
1,56,31
1,56,35
1,56,53
1,56,19
1,56,47
1,56,4
1,56,39
1,56,7
1,56,55
1,56,0
1,51,18
1,51,6
1,51,52
1,51,42
1,51,58
1,51,27
1,51,3
1,51,43
1,51,48
1,51,31
1,51,35
1,51,53
1,51,19
1,51,47
1,51,4
1,51,39
1,51,7
1,51,55
1,51,0
1,18,6
1,18,52
1,18,42
1,18,58
1,18,27
1,18,3
1,18,43
1,18,48
1,18,31
1,18,35
1,18,53
1,18,19
1,18,47
1,18,4
1,18,39
1,18,7
1,18,55
1,18,0
1,6,52
1,6,42
1,6,58
1,6,27
1,6,3
1,6,43
1,6,48
