客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,1,0
2,0,1,1,0
3,0,0,1,1
4,0,0,0,1
5,0,1,0,0
6,0,0,1,0
7,1,1,0,0
8,0,1,0,0
9,1,0,0,0
10,0,1,0,0
11,1,1,0,0
12,1,1,0,0
13,0,1,1,0
14,1,0,0,0
15,0,0,1,0
16,0,0,0,1
17,0,1,0,0
18,0,0,0,1
19,0,0,0,1
20,1,0,0,0
21,0,1,1,0
22,0,1,0,0
23,0,1,1,0
24,0,0,1,1
25,1,0,0,0
26,0,1,0,0
27,0,0,1,1
28,1,0,0,0
29,0,1,1,0
30,0,1,0,0
31,0,1,1,0
32,0,1,0,0
33,0,1,0,0
34,0,0,1,1
35,0,0,1,1
36,0,0,1,1
37,1,1,0,0
38,0,0,1,0
39,0,0,1,0
40,0,0,0,1
41,1,0,0,0
42,1,0,0,0
43,1,0,0,0
44,0,0,1,0
45,1,0,0,0
46,0,1,0,0
47,0,0,0,1
48,0,0,1,1
49,0,0,1,0
50,0,0,0,1
51,1,0,0,0
52,0,0,1,0
53,0,0,0,1
54,0,1,0,0
55,0,1,0,0
56,0,0,0,1
57,0,1,0,0
58,0,0,1,0
59,0,0,1,1
60,0,0,1,0
61,1,1,0,0
62,0,0,1,0
63,0,0,1,1
64,0,0,0,1
65,0,0,1,0
66,0,0,1,1
67,0,0,1,0
68,0,0,0,1
69,0,0,1,1
70,0,0,1,0
71,1,0,0,0
72,0,1,1,0
73,1,0,0,0
74,1,1,0,0
75,0,0,1,1
76,0,0,0,1
77,0,0,0,1
78,0,1,0,0
79,0,0,1,1
80,1,0,0,0
81,0,0,1,1
82,1,0,0,0
83,0,0,0,1
84,1,1,0,0
