客戶,貨物數,總才積
1,2,315921
2,1,18975
3,1,156978
4,1,71896
5,3,538264
6,2,706954
7,3,632220
8,2,184224
9,3,775703
10,2,498000
11,3,578812
12,1,76140
13,1,549976
14,1,296946
15,1,206752
16,2,611296
17,2,456412
18,2,479388
19,3,401280
20,2,279795
21,1,76140
22,2,569364
23,3,425554
24,1,76140
25,1,61824
26,2,373086
27,1,404544
28,3,522673
29,1,156978
30,1,260820
31,1,156978
32,3,411804
33,1,164820
34,2,358770
35,1,260820
36,2,653544
37,1,296946
38,2,476440
39,1,249660
40,3,536880
41,1,156978
42,2,621872
43,2,155424
44,2,526944
45,1,61824
46,3,334560
47,2,258420
48,2,336960
49,2,373086
50,3,921766
51,2,626116
52,2,184224
53,1,156978
54,3,444615
55,1,122400
56,1,61824
57,2,152280
58,2,184224
59,1,296946
60,1,404544
61,3,203199
62,3,490620
63,3,1048636
64,2,228874
65,2,300352
66,1,156978
67,3,300571
68,3,390096
69,2,150984
70,1,249000
71,2,467572
72,2,503698
73,3,474727
74,3,1106034
75,2,405978
76,2,466368
77,3,818586
78,2,332716
79,1,71896
80,3,349044
81,2,672376
82,1,260820
83,2,112575
84,1,404544
