客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,1,0
2,0,0,0,1
3,0,1,1,0
4,0,0,1,1
5,1,1,0,0
6,1,0,0,0
7,1,1,0,0
8,0,0,1,0
9,0,0,0,1
10,0,0,1,0
11,0,0,1,1
12,1,0,0,0
13,0,1,0,0
14,0,0,1,1
15,0,1,1,0
16,0,0,1,1
17,1,0,0,0
18,0,0,1,1
19,0,0,1,0
20,0,0,1,1
21,0,1,0,0
22,1,0,0,0
23,0,0,1,1
24,0,0,0,1
25,0,0,0,1
26,0,1,0,0
27,1,0,0,0
28,0,1,0,0
29,1,0,0,0
30,0,0,1,0
31,1,1,0,0
32,0,0,0,1
33,0,0,1,1
34,0,1,1,0
35,0,1,0,0
36,0,0,0,1
37,0,1,1,0
38,0,0,1,0
39,0,0,0,1
40,0,0,1,0
41,0,1,0,0
42,0,0,1,0
43,0,0,0,1
44,0,1,0,0
45,1,1,0,0
46,1,0,0,0
47,1,0,0,0
48,0,1,0,0
