客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,0,1
2,0,0,0,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,1,0
7,0,0,0,1
8,0,1,0,0
9,0,1,0,0
10,0,0,1,1
11,0,1,0,0
12,0,0,1,1
13,0,1,0,0
14,0,0,1,1
15,0,1,0,0
16,1,1,0,0
17,0,0,0,1
18,1,1,0,0
19,1,0,0,0
20,1,0,0,0
21,0,1,0,0
22,0,1,0,0
23,1,1,0,0
24,0,0,0,1
25,0,1,1,0
26,0,0,1,1
27,1,0,0,0
28,0,0,1,0
29,1,0,0,0
30,0,0,0,1
31,1,0,0,0
32,0,0,1,1
33,1,0,0,0
34,0,1,1,0
35,0,1,1,0
36,0,0,0,1
37,0,0,0,1
38,0,0,1,0
39,1,0,0,0
40,0,0,1,0
41,0,0,0,1
42,1,0,0,0
43,0,1,1,0
44,1,1,0,0
45,0,0,1,0
46,0,0,1,0
47,0,1,0,0
48,0,1,0,0
49,0,0,1,0
50,0,1,0,0
51,0,0,1,0
52,0,0,1,1
53,0,0,1,1
54,0,0,1,0
55,0,1,1,0
56,1,0,0,0
57,0,0,1,0
58,1,0,0,0
59,1,0,0,0
60,0,0,1,1
61,0,0,1,0
62,0,0,1,1
63,0,1,0,0
64,0,0,1,0
65,0,0,0,1
66,1,0,0,0
67,1,1,0,0
68,0,0,1,0
69,0,1,1,0
70,0,1,0,0
71,0,0,1,1
72,0,0,0,1
73,0,0,0,1
74,1,0,0,0
75,0,1,1,0
76,0,1,0,0
77,0,0,1,0
78,1,1,0,0
79,1,0,0,0
80,1,1,0,0
81,0,0,0,1
82,0,0,1,1
83,0,0,0,1
84,0,1,0,0
