客戶,貨物數,總才積
1,1,164820
2,2,498144
3,3,831572
4,3,623346
5,2,643576
6,2,335664
7,3,447712
8,3,542416
9,3,858468
10,2,143792
11,2,545946
12,3,644208
13,3,443468
14,3,585960
15,1,260820
16,2,150984
17,2,706954
18,2,329152
19,1,549976
20,1,206752
21,2,701490
22,2,503698
23,3,734200
24,2,336960
25,1,122400
26,1,71896
27,3,452370
28,1,93600
29,1,260820
30,1,76140
31,3,870872
32,3,617842
33,3,344178
34,2,80799
35,2,621872
36,2,325800
37,2,455752
38,2,310824
39,2,336960
40,1,93600
41,1,164820
42,2,155424
43,1,404544
44,2,423519
45,3,967774
46,1,76140
47,1,156978
48,3,914364
49,1,249660
50,1,122400
51,3,530596
52,3,693768
53,1,549976
54,3,1017548
55,1,18975
56,2,244800
57,1,206752
58,1,164820
59,1,164820
60,3,529038
61,2,343260
62,2,476440
63,3,581716
64,1,549976
65,2,372060
66,1,71896
67,2,175953
68,3,828624
69,1,164820
70,1,71896
71,1,74844
72,1,156978
73,1,18975
74,1,71896
75,3,576741
76,2,183795
77,2,148036
78,1,93600
79,1,71896
80,2,279378
81,1,122400
82,1,249660
83,3,165715
84,3,1118927
