客戶,貨物,材積,長,寬,高,方向1,方向2,方向3,方向4,方向5,方向6,脆弱性
1,1,404544,84,112,43,1,1,0,1,1,1,0
1,2,249000,83,100,30,1,1,1,0,1,1,0
2,1,18975,33,25,23,1,0,0,0,1,0,0
2,2,296946,81,78,47,0,1,1,0,0,1,0
3,1,549976,98,122,46,1,1,1,1,0,0,0
3,2,156978,57,51,54,1,1,1,1,1,1,0
4,1,296946,81,78,47,0,0,0,1,1,1,0
4,2,249000,83,100,30,1,1,1,1,1,1,0
5,1,71896,86,38,22,0,1,1,1,0,1,0
6,1,404544,84,112,43,1,1,1,0,1,1,0
7,1,549976,98,122,46,0,1,1,1,1,0,0
7,2,74844,81,33,28,1,1,0,1,0,1,0
7,3,156978,57,51,54,0,1,1,0,0,1,0
8,1,74844,81,33,28,1,1,1,0,0,1,0
8,2,296946,81,78,47,1,1,1,0,1,1,0
9,1,74844,81,33,28,0,0,1,1,1,1,0
9,2,122400,50,51,48,1,1,0,1,1,0,0
9,3,18975,33,25,23,1,1,0,1,1,0,1
10,1,61824,92,12,56,1,1,1,1,1,1,0
10,2,404544,84,112,43,1,0,0,0,1,1,1
11,1,260820,92,81,35,1,1,0,0,0,0,0
11,2,206752,91,71,32,0,1,1,0,1,0,0
11,3,206752,91,71,32,0,1,1,1,1,0,0
12,1,549976,98,122,46,0,1,1,1,1,0,0
13,1,93600,40,39,60,0,0,0,1,0,1,0
14,1,76140,47,36,45,1,1,0,0,1,0,0
14,2,260820,92,81,35,0,1,1,1,1,0,0
14,3,549976,98,122,46,0,0,0,1,1,1,0
15,1,164820,82,67,30,1,1,1,1,1,0,0
16,1,206752,91,71,32,0,1,0,1,0,1,0
16,2,76140,47,36,45,0,0,1,1,0,1,0
17,1,549976,98,122,46,1,1,0,0,0,0,0
18,1,156978,57,51,54,0,0,1,1,0,1,0
19,1,249000,83,100,30,1,0,1,1,1,1,0
20,1,61824,92,12,56,0,0,0,1,1,1,1
20,2,206752,91,71,32,1,0,1,0,1,1,0
20,3,74844,81,33,28,1,1,1,0,1,1,0
21,1,206752,91,71,32,0,1,0,1,1,1,0
22,1,296946,81,78,47,1,0,0,1,1,1,1
23,1,249000,83,100,30,1,1,1,0,1,1,0
24,1,549976,98,122,46,1,1,1,1,0,1,1
