客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,1,0
2,0,0,0,1
3,0,0,1,1
4,1,1,0,0
5,0,1,0,0
6,0,0,0,1
7,0,1,1,0
8,0,1,1,0
9,0,1,0,0
10,0,1,0,0
11,1,0,0,0
12,1,0,0,0
13,0,1,0,0
14,0,0,1,0
15,0,1,1,0
16,0,0,0,1
17,0,0,0,1
18,0,0,1,0
19,0,0,1,1
20,1,0,0,0
21,0,0,1,1
22,0,0,1,1
23,1,0,0,0
24,0,1,1,0
25,1,1,0,0
26,0,0,0,1
27,0,0,1,1
28,0,0,1,1
29,0,1,0,0
30,0,0,0,1
31,1,0,0,0
32,1,0,0,0
33,1,1,0,0
34,1,0,0,0
35,0,0,1,1
36,0,0,0,1
37,0,1,0,0
38,0,0,1,1
39,0,0,1,0
40,1,1,0,0
41,0,0,1,0
42,0,1,0,0
43,0,0,1,0
44,0,0,1,0
45,0,1,0,0
46,1,0,0,0
47,0,0,1,0
48,0,0,0,1
