區域,起點,終點
0,0,33
0,0,12
0,0,18
0,0,35
0,0,48
0,0,40
0,0,45
0,0,16
0,0,36
0,0,5
0,0,34
0,0,44
0,33,12
0,33,18
0,33,35
0,33,48
0,33,40
0,33,45
0,33,16
0,33,36
0,33,5
0,33,34
0,33,44
0,33,0
0,12,18
0,12,35
0,12,48
0,12,40
0,12,45
0,12,16
0,12,36
0,12,5
0,12,34
0,12,44
0,12,0
0,18,35
0,18,48
0,18,40
0,18,45
0,18,16
0,18,36
0,18,5
0,18,34
0,18,44
0,18,0
0,35,48
0,35,40
0,35,45
0,35,16
0,35,36
0,35,5
0,35,34
0,35,44
0,35,0
0,48,40
0,48,45
0,48,16
0,48,36
0,48,5
0,48,34
0,48,44
0,48,0
0,40,45
0,40,16
0,40,36
0,40,5
0,40,34
0,40,44
0,40,0
0,45,16
0,45,36
0,45,5
0,45,34
0,45,44
0,45,0
0,16,36
0,16,5
0,16,34
0,16,44
0,16,0
0,36,5
0,36,34
0,36,44
0,36,0
0,5,34
0,5,44
0,5,0
0,34,44
0,34,0
0,44,0
1,0,12
1,0,35
1,0,17
1,0,23
1,0,19
1,0,26
1,0,14
1,0,39
1,0,27
1,0,4
1,0,3
1,0,5
1,0,34
1,0,1
1,0,9
1,0,31
1,12,35
1,12,17
1,12,23
1,12,19
1,12,26
1,12,14
1,12,39
1,12,27
1,12,4
1,12,3
1,12,5
1,12,34
1,12,1
1,12,9
1,12,31
1,12,0
1,35,17
1,35,23
1,35,19
1,35,26
1,35,14
1,35,39
1,35,27
1,35,4
1,35,3
1,35,5
1,35,34
1,35,1
1,35,9
1,35,31
1,35,0
1,17,23
1,17,19
1,17,26
1,17,14
1,17,39
1,17,27
1,17,4
1,17,3
1,17,5
1,17,34
1,17,1
1,17,9
1,17,31
1,17,0
1,23,19
1,23,26
1,23,14
1,23,39
1,23,27
1,23,4
1,23,3
1,23,5
1,23,34
1,23,1
1,23,9
1,23,31
1,23,0
1,19,26
1,19,14
1,19,39
1,19,27
1,19,4
1,19,3
1,19,5
1,19,34
1,19,1
1,19,9
1,19,31
1,19,0
1,26,14
1,26,39
1,26,27
1,26,4
1,26,3
1,26,5
1,26,34
1,26,1
1,26,9
1,26,31
1,26,0
1,14,39
1,14,27
1,14,4
1,14,3
1,14,5
1,14,34
1,14,1
1,14,9
1,14,31
1,14,0
1,39,27
1,39,4
1,39,3
1,39,5
1,39,34
1,39,1
1,39,9
1,39,31
1,39,0
1,27,4
1,27,3
1,27,5
1,27,34
1,27,1
1,27,9
1,27,31
1,27,0
1,4,3
1,4,5
1,4,34
1,4,1
1,4,9
1,4,31
1,4,0
1,3,5
1,3,34
1,3,1
1,3,9
1,3,31
1,3,0
1,5,34
1,5,1
1,5,9
1,5,31
1,5,0
1,34,1
1,34,9
1,34,31
1,34,0
1,1,9
1,1,31
1,1,0
1,9,31
1,9,0
1,31,0
2,0,10
2,0,25
2,0,21
2,0,22
2,0,7
2,0,30
2,0,42
2,0,6
2,0,24
2,0,27
2,0,31
2,0,28
2,0,1
2,0,11
2,0,41
2,0,46
2,0,29
2,0,20
2,0,23
2,0,43
2,10,25
2,10,21
2,10,22
2,10,7
2,10,30
2,10,42
2,10,6
2,10,24
2,10,27
2,10,31
2,10,28
2,10,1
2,10,11
2,10,41
2,10,46
2,10,29
2,10,20
2,10,23
2,10,43
2,10,0
2,25,21
2,25,22
2,25,7
2,25,30
2,25,42
2,25,6
2,25,24
2,25,27
2,25,31
2,25,28
2,25,1
2,25,11
2,25,41
2,25,46
2,25,29
2,25,20
2,25,23
2,25,43
2,25,0
2,21,22
2,21,7
2,21,30
2,21,42
2,21,6
2,21,24
2,21,27
2,21,31
2,21,28
2,21,1
2,21,11
2,21,41
2,21,46
2,21,29
2,21,20
2,21,23
2,21,43
2,21,0
2,22,7
2,22,30
2,22,42
2,22,6
2,22,24
2,22,27
2,22,31
2,22,28
2,22,1
2,22,11
2,22,41
2,22,46
2,22,29
2,22,20
2,22,23
2,22,43
2,22,0
2,7,30
2,7,42
2,7,6
2,7,24
2,7,27
2,7,31
2,7,28
2,7,1
2,7,11
2,7,41
2,7,46
2,7,29
2,7,20
2,7,23
2,7,43
2,7,0
2,30,42
2,30,6
2,30,24
2,30,27
2,30,31
2,30,28
2,30,1
2,30,11
2,30,41
2,30,46
2,30,29
2,30,20
2,30,23
2,30,43
2,30,0
2,42,6
2,42,24
2,42,27
2,42,31
2,42,28
2,42,1
2,42,11
2,42,41
2,42,46
2,42,29
2,42,20
2,42,23
2,42,43
2,42,0
2,6,24
2,6,27
2,6,31
2,6,28
2,6,1
2,6,11
2,6,41
2,6,46
2,6,29
2,6,20
2,6,23
2,6,43
2,6,0
2,24,27
2,24,31
2,24,28
2,24,1
2,24,11
2,24,41
2,24,46
2,24,29
2,24,20
2,24,23
2,24,43
2,24,0
2,27,31
2,27,28
2,27,1
2,27,11
2,27,41
2,27,46
2,27,29
2,27,20
2,27,23
2,27,43
2,27,0
2,31,28
2,31,1
2,31,11
2,31,41
2,31,46
2,31,29
2,31,20
2,31,23
2,31,43
2,31,0
2,28,1
2,28,11
2,28,41
2,28,46
2,28,29
2,28,20
2,28,23
2,28,43
2,28,0
2,1,11
2,1,41
2,1,46
2,1,29
2,1,20
2,1,23
2,1,43
2,1,0
2,11,41
2,11,46
2,11,29
2,11,20
2,11,23
2,11,43
2,11,0
2,41,46
2,41,29
2,41,20
2,41,23
2,41,43
2,41,0
2,46,29
2,46,20
2,46,23
2,46,43
2,46,0
2,29,20
2,29,23
2,29,43
2,29,0
2,20,23
2,20,43
2,20,0
2,23,43
2,23,0
2,43,0
3,0,8
3,0,46
3,0,37
3,0,47
3,0,25
3,0,13
3,0,15
