客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,1,1,0
2,0,0,0,1
3,0,1,0,0
4,0,1,0,0
5,1,1,0,0
6,0,0,1,1
7,0,0,1,1
8,0,0,0,1
9,0,1,0,0
10,0,0,1,0
11,0,0,1,1
12,1,1,0,0
13,0,0,0,1
14,0,1,0,0
15,0,0,0,1
16,1,0,0,0
17,0,1,0,0
18,1,0,0,0
19,0,1,0,0
20,0,0,1,1
21,0,0,1,0
22,0,0,1,1
23,0,1,1,0
24,0,0,1,0
25,0,0,1,1
26,0,1,0,0
27,0,1,1,0
28,0,0,1,0
29,0,0,1,0
30,0,0,1,0
31,0,1,1,0
32,0,0,0,1
33,1,0,0,0
34,1,1,0,0
35,1,1,0,0
36,1,0,0,0
37,0,0,0,1
38,0,0,0,1
39,0,1,0,0
40,1,0,0,0
41,0,0,1,0
42,0,0,1,0
43,0,0,1,1
44,1,0,0,0
45,1,0,0,0
46,0,0,1,1
47,0,0,0,1
48,1,0,0,0
