客戶,貨物,材積,長,寬,高,方向1,方向2,方向3,方向4,方向5,方向6,脆弱性
1,1,260820,92,81,35,0,0,0,0,0,1,0
2,1,260820,92,81,35,1,1,0,1,1,1,1
3,1,18975,33,25,23,0,0,0,1,1,0,1
3,2,61824,92,12,56,1,1,1,1,1,1,0
3,3,206752,91,71,32,1,1,0,0,0,0,0
4,1,76140,47,36,45,1,1,1,1,1,0,0
4,2,93600,40,39,60,1,1,0,1,0,0,0
5,1,18975,33,25,23,1,1,0,1,1,1,0
5,2,93600,40,39,60,0,1,1,1,1,0,1
5,3,206752,91,71,32,1,0,0,0,0,1,0
6,1,93600,40,39,60,1,1,1,0,1,1,0
7,1,296946,81,78,47,1,0,0,0,1,1,0
7,2,76140,47,36,45,0,1,1,1,0,1,0
8,1,260820,92,81,35,1,0,0,0,0,1,0
8,2,61824,92,12,56,1,0,0,0,0,1,0
8,3,404544,84,112,43,0,1,0,0,1,1,0
9,1,74844,81,33,28,1,1,0,0,0,0,0
10,1,164820,82,67,30,1,0,1,1,0,1,1
10,2,122400,50,51,48,1,1,1,1,1,1,1
11,1,76140,47,36,45,0,1,0,0,0,1,0
12,1,156978,57,51,54,0,0,1,0,1,0,0
12,2,404544,84,112,43,1,0,0,1,0,1,0
12,3,296946,81,78,47,1,1,0,1,0,1,0
