客戶,貨物數,總才積
1,1,404544
2,2,569364
3,1,74844
4,1,164820
5,2,187200
6,2,231822
7,2,706954
8,1,18975
9,3,386964
10,3,354222
11,3,344115
12,1,164820
13,2,233118
14,3,575594
15,2,419346
16,1,249000
17,2,187200
18,1,164820
19,1,18975
20,3,397036
21,1,249000
22,1,76140
23,2,509820
24,3,277395
25,2,146740
26,2,479388
27,1,249660
28,3,258639
29,1,260820
30,2,498660
31,2,569364
32,2,593892
33,3,259068
34,1,76140
35,2,417798
36,1,76140
37,2,150984
38,1,61824
39,2,624820
40,3,1222352
41,3,765976
42,3,693768
43,3,673120
44,3,174399
45,2,149688
46,1,74844
47,2,417798
48,1,61824
49,1,156978
50,1,61824
51,3,532552
52,3,622086
53,1,156978
54,2,405978
55,1,549976
56,1,296946
57,3,727188
58,2,168444
59,3,306195
60,3,167011
61,1,156978
62,1,296946
63,3,596484
64,1,122400
65,1,404544
66,3,390096
67,1,249660
68,2,133720
69,2,336960
70,2,419346
71,2,756728
72,3,1251466
73,3,287551
74,2,414480
75,3,537906
76,2,453924
77,2,509820
78,1,296946
79,3,438321
80,3,771300
81,1,156978
82,3,260364
83,1,61824
84,1,164820
