區域,起點,終點
0,0,79
0,0,71
0,0,6
0,0,16
0,0,5
0,0,70
0,0,56
0,0,50
0,0,76
0,0,7
0,0,10
0,0,31
0,0,23
0,0,17
0,0,63
0,0,29
0,0,73
0,0,37
0,0,34
0,0,19
0,0,77
0,79,71
0,79,6
0,79,16
0,79,5
0,79,70
0,79,56
0,79,50
0,79,76
0,79,7
0,79,10
0,79,31
0,79,23
0,79,17
0,79,63
0,79,29
0,79,73
0,79,37
0,79,34
0,79,19
0,79,77
0,79,0
0,71,6
0,71,16
0,71,5
0,71,70
0,71,56
0,71,50
0,71,76
0,71,7
0,71,10
0,71,31
0,71,23
0,71,17
0,71,63
0,71,29
0,71,73
0,71,37
0,71,34
0,71,19
0,71,77
0,71,0
0,6,16
0,6,5
0,6,70
0,6,56
0,6,50
0,6,76
0,6,7
0,6,10
0,6,31
0,6,23
0,6,17
0,6,63
0,6,29
0,6,73
0,6,37
0,6,34
0,6,19
0,6,77
0,6,0
0,16,5
0,16,70
0,16,56
0,16,50
0,16,76
0,16,7
0,16,10
0,16,31
0,16,23
0,16,17
0,16,63
0,16,29
0,16,73
0,16,37
0,16,34
0,16,19
0,16,77
0,16,0
0,5,70
0,5,56
0,5,50
0,5,76
0,5,7
0,5,10
0,5,31
0,5,23
0,5,17
0,5,63
0,5,29
0,5,73
0,5,37
0,5,34
0,5,19
0,5,77
0,5,0
0,70,56
0,70,50
0,70,76
0,70,7
0,70,10
0,70,31
0,70,23
0,70,17
0,70,63
0,70,29
0,70,73
0,70,37
0,70,34
0,70,19
0,70,77
0,70,0
0,56,50
0,56,76
0,56,7
0,56,10
0,56,31
0,56,23
0,56,17
0,56,63
0,56,29
0,56,73
0,56,37
0,56,34
0,56,19
0,56,77
0,56,0
0,50,76
0,50,7
0,50,10
0,50,31
0,50,23
0,50,17
0,50,63
0,50,29
0,50,73
0,50,37
0,50,34
0,50,19
0,50,77
0,50,0
0,76,7
0,76,10
0,76,31
0,76,23
0,76,17
0,76,63
0,76,29
0,76,73
0,76,37
0,76,34
0,76,19
0,76,77
0,76,0
0,7,10
0,7,31
0,7,23
0,7,17
0,7,63
0,7,29
0,7,73
0,7,37
0,7,34
0,7,19
0,7,77
0,7,0
0,10,31
0,10,23
0,10,17
0,10,63
0,10,29
0,10,73
0,10,37
0,10,34
0,10,19
0,10,77
0,10,0
0,31,23
0,31,17
0,31,63
0,31,29
0,31,73
0,31,37
0,31,34
0,31,19
0,31,77
0,31,0
0,23,17
0,23,63
0,23,29
0,23,73
0,23,37
0,23,34
0,23,19
0,23,77
0,23,0
0,17,63
0,17,29
0,17,73
0,17,37
0,17,34
0,17,19
0,17,77
0,17,0
0,63,29
0,63,73
0,63,37
0,63,34
0,63,19
0,63,77
0,63,0
0,29,73
0,29,37
0,29,34
0,29,19
0,29,77
0,29,0
0,73,37
0,73,34
0,73,19
0,73,77
0,73,0
0,37,34
0,37,19
0,37,77
0,37,0
0,34,19
0,34,77
0,34,0
0,19,77
0,19,0
0,77,0
1,0,75
1,0,25
1,0,3
1,0,8
1,0,76
1,0,44
1,0,29
1,0,67
1,0,78
1,0,13
1,0,68
1,0,9
1,0,16
1,0,6
1,0,71
1,0,66
1,0,28
1,0,36
1,0,64
1,0,58
1,0,46
1,0,72
1,0,20
1,0,35
1,0,19
1,0,74
1,0,23
1,0,51
1,75,25
1,75,3
1,75,8
1,75,76
1,75,44
1,75,29
1,75,67
1,75,78
1,75,13
1,75,68
1,75,9
1,75,16
1,75,6
1,75,71
1,75,66
1,75,28
1,75,36
1,75,64
1,75,58
1,75,46
1,75,72
1,75,20
1,75,35
1,75,19
1,75,74
1,75,23
1,75,51
1,75,0
1,25,3
1,25,8
1,25,76
1,25,44
1,25,29
1,25,67
1,25,78
1,25,13
1,25,68
1,25,9
1,25,16
1,25,6
1,25,71
1,25,66
1,25,28
1,25,36
1,25,64
1,25,58
1,25,46
1,25,72
1,25,20
1,25,35
1,25,19
1,25,74
1,25,23
1,25,51
1,25,0
1,3,8
1,3,76
1,3,44
1,3,29
1,3,67
1,3,78
1,3,13
1,3,68
1,3,9
1,3,16
1,3,6
1,3,71
1,3,66
1,3,28
1,3,36
1,3,64
1,3,58
1,3,46
1,3,72
1,3,20
1,3,35
1,3,19
1,3,74
1,3,23
1,3,51
1,3,0
1,8,76
1,8,44
1,8,29
1,8,67
1,8,78
1,8,13
1,8,68
1,8,9
1,8,16
1,8,6
1,8,71
1,8,66
1,8,28
1,8,36
1,8,64
1,8,58
1,8,46
1,8,72
1,8,20
1,8,35
1,8,19
1,8,74
1,8,23
1,8,51
1,8,0
1,76,44
1,76,29
1,76,67
1,76,78
1,76,13
1,76,68
1,76,9
1,76,16
1,76,6
1,76,71
1,76,66
1,76,28
1,76,36
1,76,64
1,76,58
1,76,46
1,76,72
1,76,20
1,76,35
1,76,19
1,76,74
1,76,23
1,76,51
1,76,0
1,44,29
1,44,67
1,44,78
1,44,13
1,44,68
1,44,9
1,44,16
1,44,6
1,44,71
1,44,66
1,44,28
1,44,36
1,44,64
1,44,58
1,44,46
1,44,72
1,44,20
