客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,1,0
2,0,0,1,1
3,0,1,0,0
4,1,1,0,0
5,0,0,0,1
6,0,1,1,0
7,0,0,1,0
8,0,1,0,0
9,1,1,0,0
10,0,0,0,1
11,1,0,0,0
12,0,0,0,1
13,0,1,0,0
14,0,0,0,1
15,0,0,0,1
16,0,0,0,1
17,0,1,0,0
18,0,0,1,0
19,0,1,1,0
20,0,0,1,1
21,0,0,1,1
22,1,0,0,0
23,1,0,0,0
24,0,0,1,0
25,0,0,1,0
26,0,0,1,0
27,0,0,1,1
28,1,0,0,0
29,1,1,0,0
30,0,0,1,1
31,1,1,0,0
32,0,0,0,1
33,0,1,1,0
34,0,0,1,0
35,0,0,1,0
36,1,0,0,0
37,1,0,0,0
38,1,1,0,0
39,0,0,0,1
40,0,0,1,1
41,1,0,0,0
42,0,0,1,0
43,0,0,1,0
44,0,0,1,1
45,0,0,1,1
46,0,0,1,0
47,0,0,1,1
48,0,0,1,0
49,0,0,0,1
50,1,0,0,0
51,1,1,0,0
52,1,0,0,0
53,1,0,0,0
54,0,1,1,0
55,0,0,1,0
56,0,1,0,0
57,1,0,0,0
58,0,1,0,0
59,0,0,0,1
60,0,1,1,0
61,0,0,0,1
62,0,0,1,0
63,0,1,0,0
64,0,0,1,1
65,0,1,0,0
66,0,1,0,0
67,0,0,0,1
68,0,0,1,1
69,0,0,0,1
70,1,0,0,0
71,0,1,0,0
72,0,1,1,0
73,1,1,0,0
74,0,1,0,0
75,0,0,1,1
76,0,0,1,1
77,0,1,1,0
78,0,0,1,1
79,1,0,0,0
80,1,0,0,0
81,0,1,0,0
82,0,0,0,1
83,0,1,0,0
84,0,1,0,0
