客戶,貨物數,總才積
1,3,517576
2,2,231822
3,2,456412
4,3,555528
5,3,1111498
6,2,197244
7,2,287220
8,2,323844
9,2,798976
10,2,279795
11,3,418740
12,1,71896
13,1,71896
14,3,683192
15,3,425613
16,2,329640
17,3,578324
18,3,241636
19,1,61824
20,2,278648
21,1,260820
22,2,268635
23,1,76140
24,3,443296
25,3,430666
26,3,728388
27,2,383220
28,1,93600
29,1,249000
30,3,443468
31,1,249660
32,3,430666
33,1,260820
34,2,323844
35,1,249000
36,1,18975
37,1,549976
38,1,76140
39,3,875116
40,3,904396
41,3,387624
42,3,728388
43,3,311560
44,1,93600
45,3,386964
46,2,453924
47,1,549976
48,1,260820
49,3,675300
50,1,404544
51,3,533662
52,2,419346
53,1,93600
54,3,415398
55,3,430560
56,3,598840
57,3,395740
58,3,436773
59,3,443296
60,2,417798
61,1,76140
62,1,71896
63,2,498000
64,1,260820
65,3,392061
66,1,296946
67,3,748980
68,1,296946
69,2,846922
70,3,395740
71,2,133720
72,1,164820
