客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,1,1,0
2,0,0,0,1
3,0,0,1,0
4,0,0,1,0
5,1,0,0,0
6,0,1,1,0
7,0,0,1,1
8,1,0,0,0
9,0,0,1,1
10,1,0,0,0
11,1,0,0,0
12,1,0,0,0
13,0,0,1,1
14,0,0,1,0
15,0,0,0,1
16,0,0,1,1
17,0,0,0,1
18,0,1,0,0
19,0,0,0,1
20,0,0,0,1
21,0,0,1,0
22,0,0,0,1
23,0,1,0,0
24,0,0,1,0
25,1,1,0,0
26,0,0,1,1
27,0,0,1,1
28,0,0,0,1
29,0,0,1,0
30,0,0,1,0
31,0,0,1,0
32,0,1,0,0
33,0,0,1,1
34,0,0,1,1
35,1,1,0,0
36,0,0,1,0
37,1,1,0,0
38,0,1,1,0
39,1,0,0,0
40,1,1,0,0
41,0,0,0,1
42,0,1,1,0
43,1,1,0,0
44,0,0,1,1
45,0,0,1,0
46,0,1,0,0
47,0,1,0,0
48,0,1,0,0
49,0,0,1,1
50,0,0,0,1
51,0,0,0,1
52,1,0,0,0
53,0,1,0,0
54,1,0,0,0
55,0,1,0,0
56,0,1,1,0
57,1,0,0,0
58,0,0,1,0
59,1,0,0,0
60,0,1,0,0
61,1,0,0,0
62,0,0,1,1
63,0,1,0,0
64,0,1,1,0
65,0,0,1,1
66,0,0,0,1
67,1,1,0,0
68,0,0,0,1
69,0,1,0,0
70,1,0,0,0
71,0,0,1,0
72,0,1,0,0
