客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,1,0
2,0,0,1,0
3,1,0,0,0
4,1,0,0,0
5,0,0,1,1
6,1,0,0,0
7,0,1,1,0
8,1,0,0,0
9,1,0,0,0
10,0,0,1,1
11,0,0,1,0
12,0,1,1,0
13,0,0,0,1
14,0,0,1,1
15,0,0,1,0
16,0,1,0,0
17,1,1,0,0
18,0,0,0,1
19,1,0,0,0
20,0,1,0,0
21,0,0,0,1
22,0,0,1,1
23,1,0,0,0
24,0,0,0,1
25,1,0,0,0
26,1,1,0,0
27,0,1,1,0
28,0,1,0,0
29,1,0,0,0
30,1,1,0,0
31,0,1,1,0
32,0,0,1,0
33,0,0,0,1
34,0,1,0,0
35,0,0,0,1
36,0,0,1,0
37,0,0,1,0
38,0,0,1,1
39,1,1,0,0
40,0,0,0,1
41,0,0,1,1
42,0,1,1,0
43,0,0,1,1
44,0,1,0,0
45,0,0,0,1
46,0,0,0,1
47,1,0,0,0
48,0,0,1,0
49,0,0,1,0
50,0,1,0,0
51,0,1,0,0
52,0,0,0,1
53,0,1,0,0
54,0,0,1,1
55,0,0,1,0
56,1,1,0,0
57,0,0,1,1
58,0,1,0,0
59,0,0,1,1
60,0,1,0,0
