客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,1,0,0,0
2,1,1,0,0
3,0,0,1,1
4,0,1,1,0
5,0,0,1,0
6,0,0,1,0
7,0,0,1,0
8,0,0,1,0
9,0,1,1,0
10,1,1,0,0
11,0,0,0,1
12,0,0,1,0
13,1,0,0,0
14,0,1,0,0
15,0,0,1,1
16,0,1,1,0
17,1,0,0,0
18,0,1,0,0
19,0,0,1,0
20,0,0,0,1
21,0,0,1,1
22,0,0,1,1
23,0,1,0,0
24,0,0,0,1
25,0,1,0,0
26,0,0,0,1
27,1,1,0,0
28,0,0,1,1
29,1,1,0,0
30,1,0,0,0
31,0,0,0,1
32,0,0,1,1
33,0,0,1,0
34,1,1,0,0
35,1,0,0,0
36,0,0,0,1
37,0,1,0,0
38,1,1,0,0
39,0,0,0,1
40,0,1,0,0
41,0,0,1,1
42,0,1,0,0
43,1,0,0,0
44,0,0,1,1
45,0,0,1,1
46,0,0,0,1
47,0,1,1,0
48,1,0,0,0
49,0,1,0,0
50,0,0,1,0
51,0,0,0,1
52,1,0,0,0
53,0,0,1,0
54,0,1,0,0
55,0,0,0,1
56,0,0,1,1
57,0,0,1,1
58,0,0,0,1
59,0,1,0,0
60,0,0,0,1
61,0,1,0,0
62,0,1,1,0
63,0,1,0,0
64,0,1,1,0
65,1,0,0,0
66,1,0,0,0
67,0,0,1,1
68,1,0,0,0
69,0,0,1,0
70,1,0,0,0
71,0,0,1,0
72,0,0,1,0
