客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,1,0,0,0
2,0,0,0,1
3,0,0,1,0
4,0,0,0,1
5,0,1,0,0
6,0,1,0,0
7,0,0,1,1
8,0,1,1,0
9,0,1,1,0
10,0,1,0,0
11,1,1,0,0
12,0,0,1,0
13,0,0,0,1
14,1,1,0,0
15,1,1,0,0
16,0,0,0,1
17,0,0,1,0
18,0,0,1,1
19,0,0,0,1
20,0,0,1,0
21,0,0,1,0
22,1,0,0,0
23,0,0,1,1
24,0,0,1,1
25,0,0,0,1
26,0,0,1,1
27,0,0,1,1
28,1,1,0,0
29,1,1,0,0
30,0,1,0,0
31,0,0,1,0
32,1,0,0,0
33,1,0,0,0
34,0,0,1,0
35,0,0,1,1
36,0,1,0,0
37,0,0,1,0
38,1,0,0,0
39,0,0,0,1
40,0,0,1,1
41,0,1,1,0
42,1,0,0,0
43,0,0,0,1
44,1,0,0,0
45,0,1,0,0
46,0,0,1,0
47,0,1,0,0
48,0,1,1,0
49,0,1,0,0
50,0,1,1,0
51,0,0,1,1
52,0,0,0,1
53,0,0,1,0
54,0,1,1,0
55,1,0,0,0
56,0,0,1,1
57,0,0,1,0
58,0,0,0,1
59,0,1,0,0
60,1,0,0,0
61,0,1,0,0
62,0,0,1,0
63,0,1,0,0
64,1,0,0,0
65,1,1,0,0
66,1,0,0,0
67,0,0,1,1
68,0,0,0,1
69,0,1,0,0
70,0,0,1,1
71,0,0,0,1
72,1,0,0,0
