區域,起點,終點
0,0,31
0,0,17
0,0,32
0,0,34
0,0,16
0,0,23
0,0,12
0,0,27
0,0,15
0,31,17
0,31,32
0,31,34
0,31,16
0,31,23
0,31,12
0,31,27
0,31,15
0,31,0
0,17,32
0,17,34
0,17,16
0,17,23
0,17,12
0,17,27
0,17,15
0,17,0
0,32,34
0,32,16
0,32,23
0,32,12
0,32,27
0,32,15
0,32,0
0,34,16
0,34,23
0,34,12
0,34,27
0,34,15
0,34,0
0,16,23
0,16,12
0,16,27
0,16,15
0,16,0
0,23,12
0,23,27
0,23,15
0,23,0
0,12,27
0,12,15
0,12,0
0,27,15
0,27,0
0,15,0
1,0,24
1,0,29
1,0,22
1,0,11
1,0,17
1,0,35
1,0,31
1,0,8
1,0,25
1,0,16
1,0,21
1,0,36
1,24,29
1,24,22
1,24,11
1,24,17
1,24,35
1,24,31
1,24,8
1,24,25
1,24,16
1,24,21
1,24,36
1,24,0
1,29,22
1,29,11
1,29,17
1,29,35
1,29,31
1,29,8
1,29,25
1,29,16
1,29,21
1,29,36
1,29,0
1,22,11
1,22,17
1,22,35
1,22,31
1,22,8
1,22,25
1,22,16
1,22,21
1,22,36
1,22,0
1,11,17
1,11,35
1,11,31
1,11,8
1,11,25
1,11,16
1,11,21
1,11,36
1,11,0
1,17,35
1,17,31
1,17,8
1,17,25
1,17,16
1,17,21
1,17,36
1,17,0
1,35,31
1,35,8
1,35,25
1,35,16
1,35,21
1,35,36
1,35,0
1,31,8
1,31,25
1,31,16
1,31,21
1,31,36
1,31,0
1,8,25
1,8,16
1,8,21
1,8,36
1,8,0
1,25,16
1,25,21
1,25,36
1,25,0
1,16,21
1,16,36
1,16,0
1,21,36
1,21,0
1,36,0
2,0,28
2,0,10
2,0,22
2,0,13
2,0,11
2,0,35
2,0,19
2,0,33
2,0,3
2,0,4
2,0,6
2,0,18
2,0,26
2,0,2
2,0,30
2,28,10
2,28,22
2,28,13
2,28,11
2,28,35
2,28,19
2,28,33
2,28,3
2,28,4
2,28,6
2,28,18
2,28,26
2,28,2
2,28,30
2,28,0
2,10,22
2,10,13
2,10,11
2,10,35
2,10,19
2,10,33
2,10,3
2,10,4
2,10,6
2,10,18
2,10,26
2,10,2
2,10,30
2,10,0
2,22,13
2,22,11
2,22,35
2,22,19
2,22,33
2,22,3
2,22,4
2,22,6
2,22,18
2,22,26
2,22,2
2,22,30
2,22,0
2,13,11
2,13,35
2,13,19
2,13,33
2,13,3
2,13,4
2,13,6
2,13,18
2,13,26
2,13,2
2,13,30
2,13,0
2,11,35
2,11,19
2,11,33
2,11,3
2,11,4
2,11,6
2,11,18
2,11,26
2,11,2
2,11,30
2,11,0
2,35,19
2,35,33
2,35,3
2,35,4
2,35,6
2,35,18
2,35,26
2,35,2
2,35,30
2,35,0
2,19,33
2,19,3
2,19,4
2,19,6
2,19,18
2,19,26
2,19,2
2,19,30
2,19,0
2,33,3
2,33,4
2,33,6
2,33,18
2,33,26
2,33,2
2,33,30
2,33,0
2,3,4
2,3,6
2,3,18
2,3,26
2,3,2
2,3,30
2,3,0
2,4,6
2,4,18
2,4,26
2,4,2
2,4,30
2,4,0
2,6,18
2,6,26
2,6,2
2,6,30
2,6,0
2,18,26
2,18,2
2,18,30
2,18,0
2,26,2
2,26,30
2,26,0
2,2,30
2,2,0
2,30,0
3,0,7
3,0,1
3,0,5
3,0,14
3,0,19
3,0,6
3,0,28
3,0,26
3,0,9
3,0,3
3,0,20
3,0,18
3,7,1
3,7,5
3,7,14
3,7,19
3,7,6
3,7,28
3,7,26
3,7,9
3,7,3
3,7,20
3,7,18
3,7,0
3,1,5
3,1,14
3,1,19
3,1,6
3,1,28
3,1,26
3,1,9
3,1,3
3,1,20
3,1,18
3,1,0
3,5,14
3,5,19
3,5,6
3,5,28
3,5,26
3,5,9
3,5,3
3,5,20
3,5,18
3,5,0
3,14,19
3,14,6
3,14,28
3,14,26
3,14,9
3,14,3
3,14,20
3,14,18
3,14,0
3,19,6
3,19,28
3,19,26
3,19,9
3,19,3
3,19,20
3,19,18
3,19,0
3,6,28
3,6,26
3,6,9
3,6,3
3,6,20
3,6,18
3,6,0
3,28,26
3,28,9
3,28,3
3,28,20
3,28,18
3,28,0
3,26,9
3,26,3
3,26,20
3,26,18
3,26,0
3,9,3
3,9,20
3,9,18
3,9,0
3,3,20
3,3,18
3,3,0
3,20,18
3,20,0
3,18,0
