客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,1,1
2,1,1,0,0
3,0,1,0,0
4,0,0,1,0
5,0,1,0,0
6,0,1,0,0
7,0,1,0,0
8,0,0,1,0
9,0,0,1,1
10,0,1,1,0
11,0,0,1,1
12,0,0,0,1
13,0,1,0,0
14,0,0,0,1
15,0,0,1,1
16,1,0,0,0
17,1,1,0,0
18,0,0,0,1
19,0,0,1,1
20,0,0,1,0
21,1,1,0,0
22,1,0,0,0
23,0,0,1,0
24,0,0,1,1
25,0,0,1,0
26,0,0,0,1
27,0,0,0,1
28,0,0,1,0
29,0,1,0,0
30,0,0,0,1
31,0,1,1,0
32,1,0,0,0
33,1,0,0,0
34,1,0,0,0
35,0,1,0,0
36,0,1,1,0
37,0,0,1,0
38,0,0,1,0
39,0,1,0,0
40,1,0,0,0
41,0,1,1,0
42,0,0,0,1
43,1,0,0,0
44,0,0,1,1
45,0,0,1,1
46,0,0,0,1
47,1,1,0,0
48,1,0,0,0
