客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,1,0
2,1,1,0,0
3,1,1,0,0
4,1,0,0,0
5,0,0,1,0
6,0,0,1,0
7,0,1,0,0
8,0,0,0,1
9,1,0,0,0
10,0,1,0,0
11,0,0,0,1
12,0,1,0,0
13,0,0,1,1
14,0,0,1,1
15,1,1,0,0
16,0,1,0,0
17,0,1,0,0
18,1,0,0,0
19,0,0,1,1
20,0,1,1,0
21,0,1,0,0
22,0,0,0,1
23,0,0,1,0
24,0,1,1,0
25,0,1,0,0
26,1,0,0,0
27,0,0,0,1
28,0,0,1,0
29,0,0,1,0
30,0,0,1,1
31,0,1,1,0
32,0,1,0,0
33,0,0,1,0
34,0,0,0,1
35,0,0,1,1
36,1,0,0,0
37,0,0,0,1
38,1,0,0,0
39,0,0,1,0
40,1,1,0,0
41,1,0,0,0
42,1,0,0,0
43,0,0,0,1
44,0,0,1,1
45,0,1,1,0
46,0,0,1,1
47,0,0,0,1
48,0,0,1,1
