區域,起點,終點
0,0,32
0,0,57
0,0,54
0,0,4
0,0,1
0,0,33
0,0,44
0,0,49
0,0,42
0,0,60
0,0,14
0,0,9
0,0,45
0,0,19
0,0,21
0,32,57
0,32,54
0,32,4
0,32,1
0,32,33
0,32,44
0,32,49
0,32,42
0,32,60
0,32,14
0,32,9
0,32,45
0,32,19
0,32,21
0,32,0
0,57,54
0,57,4
0,57,1
0,57,33
0,57,44
0,57,49
0,57,42
0,57,60
0,57,14
0,57,9
0,57,45
0,57,19
0,57,21
0,57,0
0,54,4
0,54,1
0,54,33
0,54,44
0,54,49
0,54,42
0,54,60
0,54,14
0,54,9
0,54,45
0,54,19
0,54,21
0,54,0
0,4,1
0,4,33
0,4,44
0,4,49
0,4,42
0,4,60
0,4,14
0,4,9
0,4,45
0,4,19
0,4,21
0,4,0
0,1,33
0,1,44
0,1,49
0,1,42
0,1,60
0,1,14
0,1,9
0,1,45
0,1,19
0,1,21
0,1,0
0,33,44
0,33,49
0,33,42
0,33,60
0,33,14
0,33,9
0,33,45
0,33,19
0,33,21
0,33,0
0,44,49
0,44,42
0,44,60
0,44,14
0,44,9
0,44,45
0,44,19
0,44,21
0,44,0
0,49,42
0,49,60
0,49,14
0,49,9
0,49,45
0,49,19
0,49,21
0,49,0
0,42,60
0,42,14
0,42,9
0,42,45
0,42,19
0,42,21
0,42,0
0,60,14
0,60,9
0,60,45
0,60,19
0,60,21
0,60,0
0,14,9
0,14,45
0,14,19
0,14,21
0,14,0
0,9,45
0,9,19
0,9,21
0,9,0
0,45,19
0,45,21
0,45,0
0,19,21
0,19,0
0,21,0
1,0,13
1,0,24
1,0,37
1,0,31
1,0,58
1,0,55
1,0,27
1,0,43
1,0,41
1,0,5
1,0,34
1,0,12
1,0,4
1,0,36
1,0,60
1,0,53
1,0,54
1,0,21
1,0,9
1,0,40
1,13,24
1,13,37
1,13,31
1,13,58
1,13,55
1,13,27
1,13,43
1,13,41
1,13,5
1,13,34
1,13,12
1,13,4
1,13,36
1,13,60
1,13,53
1,13,54
1,13,21
1,13,9
1,13,40
1,13,0
1,24,37
1,24,31
1,24,58
1,24,55
1,24,27
1,24,43
1,24,41
1,24,5
1,24,34
1,24,12
1,24,4
1,24,36
1,24,60
1,24,53
1,24,54
1,24,21
1,24,9
1,24,40
1,24,0
1,37,31
1,37,58
1,37,55
1,37,27
1,37,43
1,37,41
1,37,5
1,37,34
1,37,12
1,37,4
1,37,36
1,37,60
1,37,53
1,37,54
1,37,21
1,37,9
1,37,40
1,37,0
1,31,58
1,31,55
1,31,27
1,31,43
1,31,41
1,31,5
1,31,34
1,31,12
1,31,4
1,31,36
1,31,60
1,31,53
1,31,54
1,31,21
1,31,9
1,31,40
1,31,0
1,58,55
1,58,27
1,58,43
1,58,41
1,58,5
1,58,34
1,58,12
1,58,4
1,58,36
1,58,60
1,58,53
1,58,54
1,58,21
1,58,9
1,58,40
1,58,0
1,55,27
1,55,43
1,55,41
1,55,5
1,55,34
1,55,12
1,55,4
1,55,36
1,55,60
1,55,53
1,55,54
1,55,21
1,55,9
1,55,40
1,55,0
1,27,43
1,27,41
1,27,5
1,27,34
1,27,12
1,27,4
1,27,36
1,27,60
1,27,53
1,27,54
1,27,21
1,27,9
1,27,40
1,27,0
1,43,41
1,43,5
1,43,34
1,43,12
1,43,4
1,43,36
1,43,60
1,43,53
1,43,54
1,43,21
1,43,9
1,43,40
1,43,0
1,41,5
1,41,34
1,41,12
1,41,4
1,41,36
1,41,60
1,41,53
1,41,54
1,41,21
1,41,9
1,41,40
1,41,0
1,5,34
1,5,12
1,5,4
1,5,36
1,5,60
1,5,53
1,5,54
1,5,21
1,5,9
1,5,40
1,5,0
1,34,12
1,34,4
1,34,36
1,34,60
1,34,53
1,34,54
1,34,21
1,34,9
1,34,40
1,34,0
1,12,4
1,12,36
1,12,60
1,12,53
1,12,54
1,12,21
1,12,9
1,12,40
1,12,0
1,4,36
1,4,60
1,4,53
1,4,54
1,4,21
1,4,9
1,4,40
1,4,0
1,36,60
1,36,53
1,36,54
1,36,21
1,36,9
1,36,40
1,36,0
1,60,53
1,60,54
1,60,21
1,60,9
1,60,40
1,60,0
1,53,54
1,53,21
1,53,9
1,53,40
1,53,0
1,54,21
1,54,9
1,54,40
1,54,0
1,21,9
1,21,40
1,21,0
1,9,40
1,9,0
1,40,0
2,0,58
2,0,26
2,0,56
2,0,30
2,0,16
2,0,29
2,0,47
2,0,22
2,0,12
2,0,39
2,0,10
2,0,46
2,0,48
2,0,13
2,0,20
2,0,8
2,0,11
2,0,50
2,0,35
2,0,7
2,0,17
2,0,24
2,0,18
2,0,37
2,0,2
2,58,26
2,58,56
2,58,30
2,58,16
2,58,29
2,58,47
2,58,22
2,58,12
2,58,39
2,58,10
2,58,46
2,58,48
2,58,13
2,58,20
2,58,8
2,58,11
2,58,50
2,58,35
2,58,7
2,58,17
2,58,24
2,58,18
2,58,37
2,58,2
2,58,0
2,26,56
2,26,30
2,26,16
2,26,29
2,26,47
2,26,22
2,26,12
2,26,39
2,26,10
2,26,46
2,26,48
2,26,13
2,26,20
2,26,8
2,26,11
2,26,50
2,26,35
2,26,7
2,26,17
2,26,24
2,26,18
2,26,37
2,26,2
2,26,0
2,56,30
2,56,16
2,56,29
2,56,47
2,56,22
2,56,12
2,56,39
2,56,10
2,56,46
2,56,48
2,56,13
2,56,20
2,56,8
2,56,11
2,56,50
2,56,35
2,56,7
2,56,17
2,56,24
2,56,18
2,56,37
2,56,2
2,56,0
2,30,16
2,30,29
2,30,47
2,30,22
2,30,12
2,30,39
2,30,10
2,30,46
2,30,48
2,30,13
2,30,20
2,30,8
2,30,11
2,30,50
2,30,35
2,30,7
2,30,17
2,30,24
2,30,18
2,30,37
2,30,2
2,30,0
2,16,29
2,16,47
2,16,22
2,16,12
2,16,39
2,16,10
2,16,46
2,16,48
2,16,13
2,16,20
2,16,8
2,16,11
2,16,50
2,16,35
2,16,7
2,16,17
2,16,24
2,16,18
2,16,37
2,16,2
2,16,0
2,29,47
2,29,22
2,29,12
2,29,39
2,29,10
2,29,46
2,29,48
2,29,13
2,29,20
2,29,8
2,29,11
2,29,50
2,29,35
2,29,7
2,29,17
2,29,24
2,29,18
2,29,37
2,29,2
2,29,0
2,47,22
2,47,12
2,47,39
2,47,10
2,47,46
2,47,48
2,47,13
2,47,20
2,47,8
2,47,11
2,47,50
2,47,35
2,47,7
2,47,17
2,47,24
2,47,18
2,47,37
2,47,2
2,47,0
2,22,12
2,22,39
2,22,10
2,22,46
2,22,48
2,22,13
2,22,20
2,22,8
2,22,11
2,22,50
2,22,35
2,22,7
2,22,17
2,22,24
2,22,18
2,22,37
2,22,2
2,22,0
2,12,39
2,12,10
2,12,46
2,12,48
2,12,13
2,12,20
2,12,8
2,12,11
2,12,50
2,12,35
2,12,7
2,12,17
2,12,24
2,12,18
2,12,37
2,12,2
2,12,0
2,39,10
2,39,46
2,39,48
2,39,13
2,39,20
2,39,8
2,39,11
2,39,50
2,39,35
2,39,7
2,39,17
2,39,24
2,39,18
2,39,37
2,39,2
2,39,0
2,10,46
2,10,48
2,10,13
2,10,20
2,10,8
2,10,11
2,10,50
2,10,35
2,10,7
2,10,17
2,10,24
2,10,18
2,10,37
2,10,2
2,10,0
2,46,48
2,46,13
2,46,20
2,46,8
2,46,11
2,46,50
2,46,35
2,46,7
2,46,17
2,46,24
2,46,18
2,46,37
2,46,2
2,46,0
2,48,13
2,48,20
2,48,8
2,48,11
2,48,50
2,48,35
2,48,7
2,48,17
2,48,24
2,48,18
2,48,37
2,48,2
2,48,0
2,13,20
2,13,8
2,13,11
2,13,50
2,13,35
2,13,7
2,13,17
2,13,24
2,13,18
2,13,37
2,13,2
2,13,0
2,20,8
2,20,11
2,20,50
2,20,35
2,20,7
2,20,17
2,20,24
2,20,18
2,20,37
2,20,2
2,20,0
2,8,11
2,8,50
2,8,35
2,8,7
2,8,17
2,8,24
2,8,18
2,8,37
2,8,2
2,8,0
2,11,50
2,11,35
2,11,7
2,11,17
2,11,24
2,11,18
2,11,37
2,11,2
2,11,0
2,50,35
2,50,7
2,50,17
2,50,24
2,50,18
2,50,37
2,50,2
2,50,0
2,35,7
2,35,17
2,35,24
2,35,18
2,35,37
2,35,2
2,35,0
2,7,17
2,7,24
2,7,18
2,7,37
2,7,2
2,7,0
2,17,24
2,17,18
2,17,37
2,17,2
2,17,0
2,24,18
2,24,37
2,24,2
2,24,0
2,18,37
2,18,2
2,18,0
2,37,2
2,37,0
2,2,0
3,0,26
3,0,52
3,0,15
3,0,51
3,0,28
3,0,25
3,0,46
3,0,23
3,0,48
3,0,6
3,0,8
3,0,38
3,0,56
3,0,17
3,0,59
3,0,7
3,0,3
3,0,47
3,0,22
3,0,39
3,26,52
3,26,15
3,26,51
3,26,28
3,26,25
3,26,46
3,26,23
3,26,48
3,26,6
3,26,8
3,26,38
3,26,56
3,26,17
3,26,59
3,26,7
3,26,3
3,26,47
3,26,22
3,26,39
3,26,0
3,52,15
3,52,51
3,52,28
3,52,25
3,52,46
3,52,23
3,52,48
3,52,6
3,52,8
3,52,38
3,52,56
3,52,17
3,52,59
3,52,7
3,52,3
3,52,47
3,52,22
3,52,39
3,52,0
3,15,51
3,15,28
3,15,25
3,15,46
3,15,23
3,15,48
3,15,6
3,15,8
3,15,38
3,15,56
3,15,17
3,15,59
3,15,7
3,15,3
3,15,47
3,15,22
3,15,39
3,15,0
3,51,28
3,51,25
3,51,46
3,51,23
3,51,48
3,51,6
3,51,8
3,51,38
3,51,56
3,51,17
3,51,59
3,51,7
3,51,3
3,51,47
3,51,22
3,51,39
3,51,0
3,28,25
3,28,46
3,28,23
3,28,48
3,28,6
3,28,8
3,28,38
3,28,56
3,28,17
3,28,59
3,28,7
3,28,3
3,28,47
3,28,22
3,28,39
3,28,0
3,25,46
3,25,23
3,25,48
3,25,6
3,25,8
3,25,38
3,25,56
3,25,17
3,25,59
3,25,7
3,25,3
3,25,47
3,25,22
3,25,39
3,25,0
3,46,23
3,46,48
3,46,6
3,46,8
3,46,38
3,46,56
3,46,17
3,46,59
3,46,7
3,46,3
3,46,47
3,46,22
3,46,39
3,46,0
3,23,48
3,23,6
3,23,8
3,23,38
3,23,56
3,23,17
3,23,59
3,23,7
3,23,3
3,23,47
3,23,22
3,23,39
3,23,0
3,48,6
3,48,8
3,48,38
3,48,56
3,48,17
3,48,59
3,48,7
3,48,3
3,48,47
3,48,22
3,48,39
3,48,0
3,6,8
3,6,38
3,6,56
3,6,17
3,6,59
3,6,7
3,6,3
3,6,47
3,6,22
3,6,39
3,6,0
3,8,38
3,8,56
3,8,17
3,8,59
3,8,7
3,8,3
3,8,47
3,8,22
3,8,39
3,8,0
3,38,56
3,38,17
3,38,59
3,38,7
3,38,3
3,38,47
3,38,22
3,38,39
3,38,0
3,56,17
3,56,59
3,56,7
3,56,3
3,56,47
3,56,22
3,56,39
3,56,0
3,17,59
3,17,7
3,17,3
3,17,47
3,17,22
3,17,39
3,17,0
3,59,7
3,59,3
3,59,47
3,59,22
3,59,39
3,59,0
3,7,3
3,7,47
3,7,22
3,7,39
3,7,0
3,3,47
3,3,22
3,3,39
3,3,0
3,47,22
3,47,39
3,47,0
3,22,39
3,22,0
3,39,0
