客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,1,0,0,0
2,0,0,1,0
3,0,0,0,1
4,1,1,0,0
5,0,1,0,0
6,0,0,0,1
7,0,0,1,1
8,0,0,1,1
9,1,1,0,0
10,0,0,1,0
11,0,0,1,0
12,0,1,1,0
13,0,1,1,0
14,1,0,0,0
15,0,0,0,1
16,0,0,1,0
17,0,0,1,1
18,0,0,1,0
19,1,0,0,0
20,0,0,1,0
21,1,1,0,0
22,0,0,1,1
23,0,0,0,1
24,0,1,1,0
25,0,0,0,1
26,0,0,1,1
27,0,1,0,0
28,0,0,0,1
29,0,0,1,0
30,0,0,1,0
31,0,1,0,0
32,1,0,0,0
33,1,0,0,0
34,0,1,0,0
35,0,0,1,0
36,0,1,0,0
37,0,1,1,0
38,0,0,0,1
39,0,0,1,1
40,0,1,0,0
41,0,1,0,0
42,1,0,0,0
43,0,1,0,0
44,1,0,0,0
45,1,0,0,0
46,0,0,1,1
47,0,0,1,1
48,0,0,1,1
49,1,0,0,0
50,0,0,1,0
51,0,0,0,1
52,0,0,0,1
53,0,1,0,0
54,1,1,0,0
55,0,1,0,0
56,0,0,1,1
57,1,0,0,0
58,0,1,1,0
59,0,0,0,1
60,1,1,0,0
