客戶,貨物,材積,長,寬,高,方向1,方向2,方向3,方向4,方向5,方向6,脆弱性
1,1,404544,84,112,43,1,1,0,1,1,1,0
1,2,249000,83,100,30,1,1,1,0,1,1,0
2,1,18975,33,25,23,1,0,0,0,1,0,0
2,2,296946,81,78,47,0,1,1,0,0,1,0
3,1,549976,98,122,46,1,1,1,1,0,0,0
3,2,156978,57,51,54,1,1,1,1,1,1,0
4,1,296946,81,78,47,0,0,0,1,1,1,0
4,2,249000,83,100,30,1,1,1,1,1,1,0
5,1,71896,86,38,22,0,1,1,1,0,1,0
6,1,404544,84,112,43,1,1,1,0,1,1,0
7,1,549976,98,122,46,0,1,1,1,1,0,0
7,2,74844,81,33,28,1,1,0,1,0,1,0
7,3,156978,57,51,54,0,1,1,0,0,1,0
8,1,74844,81,33,28,1,1,1,0,0,1,0
8,2,296946,81,78,47,1,1,1,0,1,1,0
9,1,74844,81,33,28,0,0,1,1,1,1,0
9,2,122400,50,51,48,1,1,0,1,1,0,0
9,3,18975,33,25,23,1,1,0,1,1,0,1
10,1,61824,92,12,56,1,1,1,1,1,1,0
10,2,404544,84,112,43,1,0,0,0,1,1,1
11,1,260820,92,81,35,1,1,0,0,0,0,0
11,2,206752,91,71,32,0,1,1,0,1,0,0
11,3,206752,91,71,32,0,1,1,1,1,0,0
12,1,549976,98,122,46,0,1,1,1,1,0,0
13,1,93600,40,39,60,0,0,0,1,0,1,0
14,1,76140,47,36,45,1,1,0,0,1,0,0
14,2,260820,92,81,35,0,1,1,1,1,0,0
14,3,549976,98,122,46,0,0,0,1,1,1,0
15,1,164820,82,67,30,1,1,1,1,1,0,0
16,1,206752,91,71,32,0,1,0,1,0,1,0
16,2,76140,47,36,45,0,0,1,1,0,1,0
17,1,549976,98,122,46,1,1,0,0,0,0,0
18,1,156978,57,51,54,0,0,1,1,0,1,0
19,1,249000,83,100,30,1,0,1,1,1,1,0
20,1,61824,92,12,56,0,0,0,1,1,1,1
20,2,206752,91,71,32,1,0,1,0,1,1,0
20,3,74844,81,33,28,1,1,1,0,1,1,0
21,1,206752,91,71,32,0,1,0,1,1,1,0
22,1,296946,81,78,47,1,0,0,1,1,1,1
23,1,249000,83,100,30,1,1,1,0,1,1,0
24,1,549976,98,122,46,1,1,1,1,0,1,1
25,1,74844,81,33,28,1,0,1,1,1,0,0
26,1,404544,84,112,43,0,1,0,0,0,1,1
26,2,260820,92,81,35,1,1,1,1,1,0,0
26,3,71896,86,38,22,1,1,1,1,1,0,0
27,1,76140,47,36,45,0,1,1,1,1,0,0
28,1,249660,73,57,60,1,1,0,0,0,1,0
28,2,249000,83,100,30,0,1,1,1,1,1,0
28,3,76140,47,36,45,1,0,1,1,1,1,0
29,1,74844,81,33,28,0,0,0,1,0,1,0
30,1,260820,92,81,35,0,1,1,1,1,0,0
31,1,549976,98,122,46,1,0,1,0,1,0,0
31,2,61824,92,12,56,0,1,1,0,1,0,0
31,3,61824,92,12,56,1,1,1,1,0,0,0
32,1,164820,82,67,30,0,0,1,0,1,1,1
33,1,18975,33,25,23,1,0,1,0,1,0,0
33,2,164820,82,67,30,0,0,0,1,1,1,0
33,3,93600,40,39,60,1,1,0,1,0,1,0
34,1,122400,50,51,48,0,1,0,1,1,1,1
34,2,122400,50,51,48,1,0,1,1,0,1,0
34,3,74844,81,33,28,1,1,1,1,1,0,0
35,1,122400,50,51,48,1,0,1,0,1,1,1
35,2,164820,82,67,30,1,1,0,1,1,1,0
36,1,206752,91,71,32,1,1,0,0,0,0,0
36,2,156978,57,51,54,0,0,1,1,0,1,0
36,3,61824,92,12,56,1,1,1,0,0,1,0
37,1,93600,40,39,60,1,1,1,0,1,0,0
38,1,260820,92,81,35,1,1,1,0,0,0,0
39,1,549976,98,122,46,0,1,1,0,1,1,0
39,2,18975,33,25,23,1,0,0,0,1,1,0
39,3,260820,92,81,35,1,0,0,1,0,1,0
40,1,93600,40,39,60,1,0,0,1,0,0,1
40,2,18975,33,25,23,0,0,0,0,1,0,1
40,3,122400,50,51,48,0,1,0,1,1,0,0
41,1,74844,81,33,28,0,0,1,0,1,1,0
41,2,260820,92,81,35,0,0,0,1,0,0,1
41,3,61824,92,12,56,1,0,1,1,0,1,0
42,1,249660,73,57,60,0,0,1,1,1,0,0
42,2,61824,92,12,56,1,1,0,1,0,0,0
42,3,122400,50,51,48,1,1,1,1,1,0,0
43,1,122400,50,51,48,1,0,0,1,0,1,0
43,2,260820,92,81,35,0,1,1,0,1,1,0
43,3,74844,81,33,28,1,0,1,0,0,1,0
44,1,206752,91,71,32,1,1,1,1,0,1,0
44,2,76140,47,36,45,1,1,0,1,1,0,0
44,3,249660,73,57,60,1,0,0,1,1,1,0
45,1,93600,40,39,60,1,0,1,1,1,1,1
46,1,122400,50,51,48,1,0,1,1,0,1,0
47,1,206752,91,71,32,1,1,0,0,1,1,0
48,1,76140,47,36,45,1,1,0,1,1,0,0
48,2,93600,40,39,60,0,1,1,0,1,1,0
49,1,260820,92,81,35,1,1,1,0,0,1,1
50,1,74844,81,33,28,1,1,1,1,1,1,0
50,2,93600,40,39,60,1,0,0,1,0,0,0
50,3,74844,81,33,28,1,0,0,1,1,0,1
51,1,249660,73,57,60,0,1,0,0,1,0,0
51,2,122400,50,51,48,0,1,1,1,0,1,0
52,1,61824,92,12,56,1,0,0,0,1,0,0
52,2,164820,82,67,30,1,1,1,0,0,1,0
53,1,122400,50,51,48,1,1,1,0,0,0,0
53,2,18975,33,25,23,1,0,1,1,1,0,1
54,1,74844,81,33,28,0,1,1,0,1,0,0
54,2,404544,84,112,43,0,0,1,1,0,0,0
55,1,74844,81,33,28,1,0,1,1,1,0,0
56,1,93600,40,39,60,0,1,1,1,0,0,0
56,2,76140,47,36,45,0,1,1,1,0,0,1
57,1,296946,81,78,47,1,0,0,1,0,1,0
57,2,76140,47,36,45,1,1,0,1,0,1,0
57,3,249000,83,100,30,1,0,0,0,1,0,1
58,1,74844,81,33,28,1,0,1,1,0,0,0
58,2,156978,57,51,54,1,0,0,0,1,0,0
59,1,76140,47,36,45,1,1,1,0,0,0,0
59,2,249660,73,57,60,0,1,1,1,1,0,0
59,3,549976,98,122,46,0,1,0,1,1,0,0
60,1,249000,83,100,30,1,0,0,1,1,1,0
61,1,93600,40,39,60,1,1,0,1,1,1,1
62,1,206752,91,71,32,1,0,0,0,1,1,0
62,2,18975,33,25,23,1,0,1,1,1,1,0
62,3,260820,92,81,35,1,1,1,0,1,1,0
63,1,18975,33,25,23,1,1,1,1,1,0,0
63,2,260820,92,81,35,1,0,1,0,0,0,0
64,1,71896,86,38,22,1,1,0,1,1,0,0
64,2,74844,81,33,28,1,0,1,0,1,0,0
65,1,260820,92,81,35,1,1,0,1,0,0,0
65,2,260820,92,81,35,0,1,0,0,0,1,1
65,3,156978,57,51,54,1,1,1,1,0,1,0
66,1,74844,81,33,28,1,0,0,1,1,1,0
67,1,296946,81,78,47,0,1,1,1,1,1,0
68,1,156978,57,51,54,1,1,1,0,0,0,0
68,2,18975,33,25,23,0,0,0,1,0,0,0
69,1,549976,98,122,46,1,0,0,1,1,1,0
69,2,164820,82,67,30,1,0,0,1,1,1,0
69,3,76140,47,36,45,1,1,1,0,0,0,0
70,1,260820,92,81,35,0,0,0,0,1,0,1
70,2,260820,92,81,35,0,1,1,0,1,0,0
71,1,206752,91,71,32,1,1,1,1,1,1,0
71,2,74844,81,33,28,1,0,0,0,0,1,0
71,3,206752,91,71,32,1,1,1,1,0,0,0
72,1,549976,98,122,46,1,0,1,0,1,0,0
73,1,549976,98,122,46,0,0,1,1,1,1,0
74,1,549976,98,122,46,0,0,1,0,1,0,0
75,1,76140,47,36,45,0,1,0,1,1,1,0
76,1,404544,84,112,43,1,0,1,1,0,0,0
77,1,549976,98,122,46,1,1,1,1,1,0,0
78,1,404544,84,112,43,1,0,0,1,1,1,0
78,2,249660,73,57,60,0,1,0,0,0,1,0
78,3,260820,92,81,35,0,1,0,0,1,1,0
79,1,76140,47,36,45,1,1,1,1,0,1,0
79,2,122400,50,51,48,1,1,0,1,1,1,1
79,3,164820,82,67,30,1,1,0,1,1,1,0
80,1,164820,82,67,30,1,1,1,0,1,1,1
81,1,93600,40,39,60,1,1,1,0,0,0,0
81,2,404544,84,112,43,0,1,0,0,1,1,1
82,1,404544,84,112,43,1,0,1,1,0,1,0
82,2,74844,81,33,28,0,1,1,0,0,1,0
83,1,260820,92,81,35,1,0,0,0,1,0,0
83,2,76140,47,36,45,0,0,1,1,1,1,0
84,1,122400,50,51,48,1,0,0,1,1,0,0
84,2,164820,82,67,30,0,0,1,1,1,1,0
